Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0051606~detection of stimulus	38	15.702479338842975	6.556059394287696E-16	OR13G1, OR2L8, OR52H1, RTP4, HLA-DRB1, OR51F1, OR2J2, OR6S1, OR8U1, OR10G2, PKD1L1, PKD1L2, PKD1L3, OR13C5, OR51B6, OR2T35, OR6N1, OR52R1, OR1B1, OR1I1, OR11L1, HLA-A, OR9G1, HLA-B, OR10H5, OR2W3, OR1S1, OR51M1, OR12D2, OR51S1, OR2T29, OR2T27, CA6, OR8B2, OR10D3, TAS2R31, PKDREJ, OR4C46	185	685	16650	4.992700729927008	1.6187051699034782E-12	1.6187051699034782E-12	1.176836406102666E-12
GOTERM_BP_FAT	GO:0050907~detection of chemical stimulus involved in sensory perception	32	13.223140495867769	1.2053809300423201E-15	OR13G1, OR2L8, OR52H1, RTP4, OR51F1, OR2J2, OR8U1, OR10G2, OR6S1, PKD1L3, OR13C5, OR51B6, OR2T35, OR6N1, OR52R1, OR1B1, OR1I1, OR11L1, OR9G1, OR10H5, OR2W3, OR1S1, OR51M1, OR12D2, OR51S1, OR2T29, OR2T27, CA6, OR8B2, TAS2R31, OR10D3, OR4C46	185	476	16650	6.050420168067227	2.9676261448230434E-12	1.4838130724115217E-12	2.142730437526552E-12
GOTERM_BP_FAT	GO:0009593~detection of chemical stimulus	32	13.223140495867769	1.2180164025918373E-14	OR13G1, OR2L8, OR52H1, RTP4, OR51F1, OR2J2, OR8U1, OR10G2, OR6S1, PKD1L3, OR13C5, OR51B6, OR2T35, OR6N1, OR52R1, OR1B1, OR1I1, OR11L1, OR9G1, OR10H5, OR2W3, OR1S1, OR51M1, OR12D2, OR51S1, OR2T29, OR2T27, CA6, OR8B2, TAS2R31, OR10D3, OR4C46	185	517	16650	5.570599613152805	2.9676261448230434E-11	9.892087149410145E-12	2.1471713296250527E-11
GOTERM_BP_FAT	GO:0050906~detection of stimulus involved in sensory perception	32	13.223140495867769	2.043306052123752E-14	OR13G1, OR2L8, OR52H1, RTP4, OR51F1, OR2J2, OR8U1, OR10G2, OR6S1, PKD1L3, OR13C5, OR51B6, OR2T35, OR6N1, OR52R1, OR1B1, OR1I1, OR11L1, OR9G1, OR10H5, OR2W3, OR1S1, OR51M1, OR12D2, OR51S1, OR2T29, OR2T27, CA6, OR8B2, TAS2R31, OR10D3, OR4C46	185	527	16650	5.464895635673624	4.964029187704E-11	1.241007296926E-11	3.5915714846623814E-11
GOTERM_BP_FAT	GO:0007606~sensory perception of chemical stimulus	32	13.223140495867769	2.773898145905279E-14	OR13G1, OR2L8, OR52H1, RTP4, OR51F1, OR2J2, OR8U1, OR10G2, OR6S1, PKD1L3, OR13C5, OR51B6, OR2T35, OR6N1, OR52R1, OR1B1, OR1I1, OR11L1, OR9G1, OR10H5, OR2W3, OR1S1, OR51M1, OR12D2, OR51S1, OR2T29, OR2T27, CA6, OR8B2, TAS2R31, OR10D3, OR4C46	185	533	16650	5.403377110694184	6.744604874597826E-11	1.3489209749195652E-11	4.880540416252188E-11
GOTERM_BP_FAT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	28	11.570247933884298	1.8922775623323557E-13	OR13G1, OR2L8, OR52H1, OR51F1, OR2J2, OR10G2, OR8U1, OR6S1, OR13C5, OR51B6, OR2T35, OR6N1, OR52R1, OR1B1, OR1I1, OR11L1, OR9G1, OR10H5, OR2W3, OR1S1, OR51M1, OR12D2, OR51S1, OR2T29, OR2T27, OR8B2, OR10D3, OR4C46	185	425	16650	5.929411764705883	4.597122682525878E-10	7.66187113754313E-11	3.3265612486843565E-10
GOTERM_BP_FAT	GO:0007608~sensory perception of smell	28	11.570247933884298	1.1148581188845908E-12	OR13G1, OR2L8, OR52H1, OR51F1, OR2J2, OR10G2, OR8U1, OR6S1, OR13C5, OR51B6, OR2T35, OR6N1, OR52R1, OR1B1, OR1I1, OR11L1, OR9G1, OR10H5, OR2W3, OR1S1, OR51M1, OR12D2, OR51S1, OR2T29, OR2T27, OR8B2, OR10D3, OR4C46	185	458	16650	5.502183406113537	2.7091728860284547E-9	3.8702474558505173E-10	1.960420714652855E-9
GOTERM_BP_FAT	GO:0007600~sensory perception	38	15.702479338842975	1.972988869616266E-11	OR13G1, OR2L8, OR52H1, RTP4, OR51F1, OR2J2, OR6S1, OR8U1, OR10G2, PKD1L3, OR13C5, OR51B6, OR2T35, OR6N1, SCN10A, CDH23, OR52R1, TECTA, OR1B1, OR1I1, OR11L1, OR9G1, OR10H5, OR2W3, OR1S1, OR51M1, P2RX7, OR12D2, OR51S1, OR2T29, OR2T27, ADGRV1, OTOG, CA6, OR8B2, OR10D3, TAS2R31, OR4C46	185	961	16650	3.558792924037461	4.7943617964563146E-8	5.992952356592696E-9	3.469313725190659E-8
GOTERM_BP_FAT	GO:0050877~neurological system process	38	15.702479338842975	6.017463635968015E-8	OR13G1, OR2L8, OR52H1, RTP4, OR51F1, OR2J2, OR6S1, OR8U1, OR10G2, PKD1L3, OR13C5, OR51B6, OR2T35, OR6N1, SCN10A, CDH23, OR52R1, TECTA, OR1B1, OR1I1, OR11L1, OR9G1, OR10H5, OR2W3, OR1S1, OR51M1, P2RX7, OR12D2, OR51S1, OR2T29, OR2T27, ADGRV1, OTOG, CA6, OR8B2, OR10D3, TAS2R31, OR4C46	185	1288	16650	2.6552795031055902	1.4621368055245387E-4	1.6247020328430395E-5	1.0581136982157346E-4
GOTERM_BP_FAT	GO:0016266~O-glycan processing	9	3.71900826446281	2.9924868574385505E-7	MUC3A, MUC20, MUC5AC, MUC6, MUC17, MUC5B, MUC12, MUC4, MUC16	185	60	16650	13.5	7.26910087862298E-4	7.271479766124411E-5	5.261992840566165E-4
