ID	Control.1	Control.2	Control.3	Control.4	Model1.10	Model1.7	Model1.8	Model1.9	Model2.1	Model2.2	Model2.3	Model2.4
Trim30a	2.73775623704698	3.11962574350624	3.26334327022278	3.32333912998301	8.11887830852524	8.07790450135637	8.12137828457919	8.59606819896308	4.86564634606634	4.93380480220926	4.62851154165075	4.85494055704977
Irf7	2.32088237669167	2.80761097549687	3.25146076065084	3.0598332668085	8.54396317034089	8.36318277500622	7.99352339740827	8.49686580765403	4.38830655562438	4.89529473352428	4.56243080823796	4.26402629839081
Uba7	1.4822386220888	1.66704851787672	1.6524466014038	1.73365510844699	5.56806734741417	5.68039203059197	5.70539920046873	6.03511675480658	2.3317146502953	2.74003176410331	2.34971406797343	2.38076703480048
H2-K1	5.57936435844306	5.79642813629194	6.18679853543103	5.85302363811429	11.2373403139936	10.7753197560829	10.5743929055187	11.3549775519866	7.60048007979304	8.0367623031465	7.70743121324971	7.9768835552347
Rtp4	2.55517816911343	3.21946221317187	3.13987000182507	3.22363509649615	8.03870283308389	7.63593170325784	7.87185835872251	8.14990575928576	5.31502018393109	5.4850408149777	5.22342685858403	4.80361300188948
Gbp7	3.34970694606331	3.89911226979397	4.11441883406575	3.69310504509114	7.9315675680316	8.40494653789401	8.23471183210762	8.74654840608718	5.00180538980425	4.99173798357673	4.78350769610984	4.76284899703628
Parp10	1.06281288152282	1.40154193189221	1.37425321717796	1.93621396210767	6.27604574173943	5.77033279002367	6.02688935980369	6.07268385712526	2.19852497577449	2.75922059055754	2.34971406797343	2.17244982054842
Ifih1	2.48879605812856	2.5471205219753	1.97499614856001	2.68191828252346	6.60187619843613	6.68984098638647	6.60066826345245	7.20396775834283	3.44349727395993	3.61199426538669	3.38029382134201	3.13540500356415
Fcgr4	-0.75813268298096	0.175545514882023	0.575006842686873	0.65179253631531	6.22603050321007	5.83428987256958	5.56633292021174	5.91428340924821	1.79919547390933	2.09275126892933	1.37132288063878	1.7734052228302
Lgals3bp	3.9687135921351	4.40238558392873	4.59060548795462	4.47844150281464	9.10257341935568	8.77130473085223	8.44099788280314	8.86806946762904	6.46146045406948	6.70176588499184	6.8318753488287	6.66468314147038
Oasl2	1.97788409389315	2.94728874753182	3.29841463760385	2.97038532977212	8.22013816491089	8.32152693430678	8.38619705059298	8.56525108120567	5.05093291913747	5.46180314012387	5.12308493777656	4.81960147391674
Herc6	3.71169208959985	3.93312073564144	4.10784360441363	3.68375533614422	7.16790349877249	7.57086204198254	7.36728240640946	7.76228853905595	4.6740665550182	4.61365449394298	4.15345396112607	4.31567190259933
Irgm1	2.57664370428728	2.94728874753182	3.37707713483451	3.23648148664876	8.33076268122368	7.92963321187681	7.31831041093966	8.07951477425794	4.16849224209076	4.2899926978314	4.01537687634301	3.97378921118395
Ifi27l2a	2.57664370428728	3.5613853233285	3.33265362813817	2.87502284321848	8.54154866090256	8.45819999716218	7.82527395584295	8.55170996596189	5.29340788676204	4.93380480220926	4.93742700284582	4.88184026121844
Parp12	3.13500564750325	2.99636783665324	2.79164436485849	2.60475483746767	6.32870020850423	6.08908242787467	6.53426851715094	6.6131905963055	4.08918235609892	4.12228034952233	4.04793857890215	4.12297649954402
Dtx3l	2.26908477415643	2.5471205219753	2.80796203145696	2.79043691598434	6.70306816196053	6.30007857823428	6.66922729387785	6.88586598005425	3.29914604782315	3.97412981992025	3.56261966932659	3.84691816140288
H2-D1	5.73542601066902	5.77079795949045	6.20076901211878	5.99586270334876	10.3358405068709	10.0516440548187	9.69103207923266	10.4230331751238	7.55749531445735	8.00747238375528	7.91364141106695	7.91544305504607
C4b	3.78728713765664	3.92469348071545	3.81674568840632	4.22489731737336	8.02759727278421	7.64352482199424	7.77948651439277	7.64419262333757	6.62504084404249	6.93901446907436	6.89319634502871	7.14252296864698
Psmb10	5.74730576102646	5.9010825346285	5.88227937249465	5.82989980558041	8.09272969700659	8.02531862726308	7.9036811780797	8.32284917189497	5.7690515125143	5.9595716100575	5.78149157807691	5.72315910532451
Lgals9	2.5333884231365	2.67321049776112	3.01891874970234	2.75516328625077	7.26115920794153	6.95862440502453	6.47166179933987	7.32069233998462	4.28805617204788	4.57085494265389	4.40543135701921	4.33248427062351
Ifit1	3.73096543346754	4.6422779190154	4.84107689761941	4.34838314465399	9.47817038510274	9.89027999002508	9.249187835159	9.7460309975625	6.08114437423454	6.13141122595879	5.7059657282807	5.75260556592715
Ifit3b	2.95001090767612	3.36359692653433	3.55195882422389	3.31124649165088	7.88778630447466	8.70390772498268	8.2901861664794	8.74178608635976	5.53356255015899	5.54983683359248	5.07964959085732	5.00230580726946
Tap1	3.27288915856432	3.6962232287802	4.09460255456725	3.71162462451022	9.02425685755785	8.70572226943965	8.41249472112783	9.28989440070277	4.8619803778077	5.1085608152098	4.74827452251193	4.2872084392094
Nlrc5	-0.381825707094098	0.386619222748138	0.97250873169563	0.0973575339402329	5.553392859636	5.2959694177195	5.63234667999537	5.86257640704432	2.07729508238443	2.48733435386084	1.99632029227731	1.7734052228302
Cmpk2	3.96057245939887	4.40238558392873	4.61399493476814	4.58272624711649	7.9124327947338	7.69558627213697	7.85322611684627	8.07615568104941	4.99177589524357	5.41719718711437	4.83665977010322	5.225729760058
Gbp6	2.48879605812856	3.19163545907822	3.62745349946879	3.45006943010482	8.93848197025839	8.73723957868774	8.34137958323667	9.06647205042011	4.47245618483535	5.02778868737265	4.45483646064076	4.34358464761409
Ms4a6c	1.06281288152282	1.70691063578137	1.75700007729852	2.19502012636488	7.16066016569878	7.24194976801035	6.58677148592428	7.5340419778957	3.5011983601634	3.74306878278729	3.13563946293447	3.7417646083785
Phf11b	0.16333776133992	1.19280527583374	1.08390882101162	0.0973575339402329	6.43579145019775	6.01575157746003	5.93030340836274	6.73428033383537	2.37351213428685	2.98790266058943	2.54485953006573	2.6186631724327
Ms4a6b	0.935682960181513	1.01368791621054	1.6524466014038	1.49793744965466	5.95280763929402	5.99555040254168	5.99324761897216	6.72573047936342	2.3317146502953	2.98790266058943	2.48903648257915	2.68997689825679
Ifit3	3.96057245939887	4.77477580878959	5.10812690699825	4.7533194016562	9.84199942359361	9.84841962326611	10.0838815560651	10.1142440885748	6.68332717295719	7.02773361212635	6.41029129974025	6.25991250869013
Parp9	2.48879605812856	2.02336782865699	2.44034860404777	2.50210791237041	6.04170770346644	6.15583470169134	6.29358574746606	6.83807788555144	3.38339191953597	3.66382628199119	3.22947439973174	3.52486818368995
Tor3a	3.17777173931564	2.93055087775608	3.44124835798942	3.18439498708951	6.77250303957791	6.95252424496956	6.84476534946526	7.4121189835013	4.23802271251283	4.62415889143256	4.02194827588955	4.03669596075273
Ifi35	1.23468986047539	1.62605362404531	2.08621154355681	2.36843831482151	6.20365025510874	5.9904555996795	5.93705993236513	6.26492497234281	2.99884513182416	3.46781013794236	3.00905260922094	3.08338106988955
Mx2	0.558056306161193	1.78347544694871	2.2141620679017	1.99787134391478	6.77313645623392	6.48169840497054	6.29884096344192	6.53092727225263	2.82898264852034	3.26795729120422	2.99576091947222	2.77443084966162
Ddx58	1.91186206758096	2.61154258748905	2.41926051667205	2.85849775596635	6.51971350470623	6.76237347889869	6.87850154550603	7.23743333820061	3.81359736506553	4.16607135449681	3.56261966932659	4.06379757362242
Parp3	2.89980248560994	2.63239282144626	2.88689166132547	2.84178118973705	6.40669637419439	6.21963450923808	5.95047878717385	6.45924406284482	3.97842067306856	4.12967178075236	3.7484405581792	4.33804513515063
Mnda	0.16333776133992	0.654645035182957	1.18732014947843	0.865342839531381	6.40178963268637	6.49734717572159	5.89430300932124	6.99661892717193	1.94493587675733	2.53264513167681	1.41191694756098	2.06924105316602
Igtp	3.14940233009384	3.63555200524772	4.0472777768111	3.80081599401099	9.31506558468762	8.88845646145732	8.92526929781721	9.27073704442355	4.3984650821025	5.18149769560835	4.19475385692312	4.00907547018785
Trim21	1.06281288152282	1.35212031652878	0.97250873169563	0.489560181809463	5.13547139806095	5.06345147519225	5.19006807666688	5.6530977620257	2.31035285323556	2.15202583797813	1.73350957485207	1.67137545590249
Ly6a	4.65877763809237	5.07811631213614	5.07142480952259	5.38113354165361	9.73861039296455	9.22306386891089	8.8554331726598	9.34187032331648	5.2006681479554	5.87853418980012	5.33053715562969	5.80574668922069
