	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2	Foxp3	Ccr2	Cxcr6	Tcf7	Ccr7	Cxcr5	Mki67	Ccnb2
cell1	16247	3365	KO	A	1.2002215793685	TRUE	0	1.51288671417881	-5.45864443164764	0	0.479643420444624	0	0	0	0	1.40548190447454	1.54606979410361
cell2	25246	4387	WT	A	1.36655311732552	TRUE	0	1.88619108124424	-4.82960800510345	0	0	0.949497014311054	1.0920950187393	2.55591409175419	0	0.333684320311508	1.21687346691103
cell3	17478	3537	KO	A	0.841057329213869	TRUE	0	2.18788738175083	-5.42976765018402	0	0	0.452442737296404	0	0	0	1.90530813480583	1.71868376431204
cell4	6263	2096	KO	A	1.99584863483953	TRUE	0	1.16116208954502	-5.63568214755951	0	0.954233285403035	0.954233285403035	0	0	0	2.19537782195031	1.75613863415803
cell5	18282	3954	KO	A	1.31823651679247	TRUE	0	3.18405504151035	-5.97304205280243	0	0.971141851160424	0.739062842592291	0	0	0	1.31772921941971	1.57461926708832
cell6	22809	4290	KO	A	0.889999561576571	TRUE	0	0.679976176459079	-6.63525394779144	0	0	1.50571770291263	0	0	0	2.02503174343259	1.68347510801534
cell7	13461	3630	KO	A	1.27033652774682	TRUE	0	1.72096271439243	-6.01288894992767	0	0	1.17206736856567	0	0	0	1.82458284121735	1.17206736856567
cell8	16447	3687	WT	A	1.10050465130419	TRUE	0	0.577243756491428	-6.28077892642913	0	2.039680158283	1.03816878783909	0	0	0	1.86750411893804	1.39626154765412
cell9	21285	4134	KO	A	0.77989194268264	TRUE	0	2.08607168121982	-5.69744018894134	0	0.879395712479259	1.33995889840607	0	0	0	1.81936793330905	1.45598388128536
cell10	25071	4542	KO	A	1.00913405927167	TRUE	0	2.39775867386509	-4.81581930499969	0	1.68408876642638	1.33291218119348	0	0	0	1.43292451243253	0.953767181766557
cell11	12908	3175	KO	A	1.38673690734428	TRUE	0	1.6294433586185	-5.54503111225067	0	0.935868515116969	0.573638920341896	0	0	0	1.73135109817297	1.20121101454547
cell12	20841	3967	KO	A	1.03162036370616	TRUE	0	0.0348534099643283	-7.27822307926117	0	1.47218852516427	1.07134170343206	0	0	0	1.35556206219386	2.36052078519193
cell13	16708	3925	KO	A	1.26286808714388	TRUE	0	1.34111804886509	-5.22645716052948	0	1.75580848249545	2.30035613237224	0	0	0	3.1922078366036	0.787107068321838
cell14	17686	3716	WT	A	0.712427909080629	TRUE	0	-0.112995196145291	-5.97520117145477	0	0.448153504112	0	0.756515306546755	0	0	1.70898488682389	1.47990169480548
cell15	20740	3807	KO	A	1.20057859209257	TRUE	0	-0.114440489571805	-6.85377888065277	0	1.22694698097595	1.47593407143444	0.393500535309069	0	0	1.47593407143444	2.04772394998319
cell16	21911	4293	KO	A	1.17749075806672	TRUE	0	1.65117139740634	-5.4981694636911	0	0	1.03870907605455	0.648559528480558	0.375961984112094	0	1.31864449814899	1.31864449814899
cell17	21656	4216	KO	A	1.26062061322497	TRUE	0	1.13505763931919	-6.0555687366098	0	1.3272327487892	1.19659433886089	0	0	0	1.64014016389434	1.64014016389434
cell18	19943	4020	WT	A	0.917615203329489	TRUE	0	-0.28812913970303	-6.40206055026947	0	0	0.406417369801474	1.10051590611502	0	0	1.38843567615404	2.08193929719064
cell19	12698	3198	KO	A	1.37816979051819	TRUE	0	0.0440001003329806	-5.62489513736663	0	2.18326717391108	1.98790239661778	0.580832314130689	0	0	1.59688504845523	2.09034814179994
cell20	15545	3661	KO	A	1.11289803795433	TRUE	0	0.624275635916477	-6.10309891086517	0	2.00592102096232	2.16556464499597	0	0	0	2.00592102096232	2.08892521652884
cell21	23937	4265	KO	A	0.910723983790784	TRUE	0	1.47693176193882	-6.32552818637786	0	0.607331410711026	0.607331410711026	0	0.34908048562636	0	1.64434799298615	1.86111804880977
