	logFC	logCPM	PValue	QValue
ENSMUSG00000100764	0.622395883994874	-0.673928055022136	0.285015336101633	0.526866268221274
ENSMUSG00000100480	0.0199871785769926	-0.480212549092205	1	1
ENSMUSG00000100025	-0.285740852043268	-1.28924778876841	0.697748736582438	0.865622693211083
ENSMUSG00000051285	-0.190174853154928	7.86971391915585	0.186675964042338	0.406626846170317
ENSMUSG00000103509	-0.407342250498822	5.74133673585275	0.00532613046297247	0.0312364332868862
ENSMUSG00000097797	0.959890116857348	0.196762407705354	0.0336949187793286	0.127109925892029
ENSMUSG00000026312	0.672331635574594	0.408213502840944	0.377937001642078	0.623599017851446
ENSMUSG00000039748	2.3221723466803	0.887849047133995	2.25682282017884e-05	0.000336618728589937
ENSMUSG00000057363	0.257811232230238	4.74941669564171	0.0852181087777922	0.243193898786938
ENSMUSG00000047216	0.508435977666967	9.57981978715593	0.00144141504676743	0.0111964447052405
ENSMUSG00000102788	0.526887090747731	5.38642381639974	0.00469775989301452	0.0284027611974693
ENSMUSG00000102160	0.301713393083291	6.00995024063815	0.0294951279831727	0.115192578758423
ENSMUSG00000100555	0.137184297477582	1.6567080550527	0.64577618630383	0.831220779435687
ENSMUSG00000038702	0.411593050532339	7.19979180857599	0.00773089019996261	0.0413710818817846
ENSMUSG00000101054	-1.38423802180392	2.28906895014852	9.2544587216109e-08	2.59853833610412e-06
ENSMUSG00000055214	-0.582795147540839	0.736998411588923	0.392833029277246	0.636877298485694
ENSMUSG00000070695	-0.768406916698955	0.603863008372763	0.254527361109924	0.490869642460156
ENSMUSG00000025909	-0.542970520285186	2.06118821871832	0.109687731890987	0.288680101288869
ENSMUSG00000102253	-0.330375923942204	-1.20933788023771	0.833825829823901	0.939668652563245
ENSMUSG00000103933	0.501554396278988	-0.774184637171936	0.372320546932272	0.61837669113304
ENSMUSG00000103411	0.785421467684118	-0.66879227914828	0.170830454547508	0.383693218156844
ENSMUSG00000061024	-0.565240037630029	3.46110800585936	0.0871412711543888	0.246559706174439
ENSMUSG00000025911	-0.458594613621899	4.48076273072536	0.167199079062606	0.378746394834799
ENSMUSG00000081441	-1.17634449612414	-1.67455516502527	0.114615919240082	0.297774848367901
ENSMUSG00000067879	2.95204959275734	-1.47370023167983	0.00111666276538233	0.0090741250317968
ENSMUSG00000057335	0.290818715068114	7.64584382926764	0.0670008060768849	0.206295414382875
ENSMUSG00000103634	0.503935365988902	3.0044789559066	0.0394995649234305	0.142124097502937
ENSMUSG00000104154	0.523415471618718	3.29584057218416	0.0507097774515567	0.169883289718991
ENSMUSG00000025912	0.373026062203154	3.5770651980083	0.111348328325342	0.291993817193549
ENSMUSG00000045210	0.132614624858625	6.6553088141498	0.370006074825985	0.615973858914375
ENSMUSG00000041763	0.181353291357501	6.94279466835496	0.153754468272379	0.359849791034544
ENSMUSG00000026504	-0.0216132883783011	5.09804234557386	0.904105511801927	0.974464039293597
ENSMUSG00000102475	0.163505339939923	0.510964196060112	0.693061773229258	0.863520658817645
ENSMUSG00000047343	-1.1181081874591	-1.28080844245071	0.17911296325926	0.395685370830408
ENSMUSG00000102211	-0.21293639275899	-0.167392225047926	0.755394362342791	0.896540566277158
ENSMUSG00000103251	-0.13594311904274	0.378138197007542	0.735668422362808	0.886260548939983
ENSMUSG00000091844	0.519407252321169	0.227878989456562	0.218370270346774	0.448162066264818
ENSMUSG00000026483	0.658016813597021	7.36591627592972	0.000191840029950518	0.00209480149007754
ENSMUSG00000019699	-0.0809646692710188	7.66238386140563	0.59754551686649	0.799222829128667
ENSMUSG00000104391	0.259891868816089	1.70067597274452	0.456630570656088	0.692286442579887
ENSMUSG00000102133	-0.0663455683067731	1.55141208282526	0.856571289312552	0.952170547152334
ENSMUSG00000102749	0.26589847597637	2.01558146746662	0.339405183040022	0.586864293719863
ENSMUSG00000103163	0.414249449575277	2.53005234974905	0.0673579954755353	0.206954857976038
ENSMUSG00000103646	0.158985461764546	3.9532277542144	0.357731877711395	0.604002819536636
ENSMUSG00000102427	-0.164858259681644	2.07413245190235	0.577652345382839	0.786673993119632
ENSMUSG00000097892	5.83396158513741	-1.55117639661072	6.93084526675206e-05	0.000881273318047537
ENSMUSG00000063659	-0.039653235892681	5.75395258696354	0.779565013734726	0.909067469024399
ENSMUSG00000026049	0.677321103541343	2.19680458194713	0.0436625942306468	0.152891778099356
ENSMUSG00000043019	-0.0798079861775047	7.11006601373744	0.51454256647234	0.73867741136134
ENSMUSG00000032666	0.360653553082015	5.6322051036559	0.020406945510318	0.0870721182851488
ENSMUSG00000015961	-0.213452845261748	6.38378999077019	0.102341167301975	0.275023906149737
ENSMUSG00000014980	-0.017185673544016	3.88779399153411	0.939731335578714	0.990113881913
ENSMUSG00000026235	-0.789923450299678	4.23562742079424	0.00312770168123061	0.0206721225826401
