	logFC	logCPM	PValue	QValue	gene_symbol
ENSMUSG00000100764	0.622136085921412	-0.673928055020929	0.286339007694976	0.529313146772702	Gm29155
ENSMUSG00000100480	0.0200021537740806	-0.480212549092636	1	1	Gm29156
ENSMUSG00000100025	-0.285653564470504	-1.28924778877201	0.697608320456044	0.866029194705806	Gm8141
ENSMUSG00000051285	-0.190171235214222	7.86971391915583	0.188626478162913	0.40989909715274	Pcmtd1
ENSMUSG00000103509	-0.407338303459901	5.74133673585257	0.00550328020046187	0.0320963632545517	Gm38372
ENSMUSG00000097797	0.959603536453379	0.196762407707119	0.0342946996996415	0.129071551428626	Gm26901
ENSMUSG00000026312	0.671949827972384	0.40821350284455	0.375197445613921	0.622153865702623	Cdh7
ENSMUSG00000039748	2.32189966048331	0.887849047144549	2.11196736851518e-05	0.000318968255091425	Exo1
ENSMUSG00000057363	0.257828380854696	4.74941669564193	0.0871735493172134	0.247281752858149	Uxs1
ENSMUSG00000047216	0.508435943317648	9.57981978715594	0.00148445108021537	0.0114906155533804	Cdh19
ENSMUSG00000102788	0.52688614611912	5.38642381640002	0.0046743181856648	0.028321978035931	Gm38255
ENSMUSG00000102160	0.301725568810606	6.0099502406383	0.0302725160043468	0.117682307594717	Gm36944
ENSMUSG00000100555	0.13718365028686	1.65670805505232	0.647468949567709	0.832969251727727	Gm8173
ENSMUSG00000038702	0.411594666015343	7.19979180857607	0.00787132994007226	0.0420584197077387	Dsel
ENSMUSG00000101054	-1.38423736138075	2.28906895014209	1.07035852279229e-07	2.96193553853218e-06	Gm18406
ENSMUSG00000055214	-0.582888146611223	0.736998411587045	0.390445516810632	0.635709504067848	Pld5
ENSMUSG00000070695	-0.768641199447164	0.603863008374218	0.252382761658219	0.488978522379917	Cntnap5a
ENSMUSG00000025909	-0.542976543937987	2.06118821871554	0.109583615484202	0.289420195560499	Sntg1
ENSMUSG00000102253	-0.330329051529945	-1.20933788023762	0.833203451493746	0.939574534293097	Gm38259
ENSMUSG00000103933	0.501645458059021	-0.774184637168461	0.373199105756945	0.619817609821868	Gm36964
ENSMUSG00000103411	0.785343005095571	-0.668792279144092	0.171648183045007	0.385676595899524	Gm18300
ENSMUSG00000061024	-0.565200238919505	3.46110800585788	0.0859027523911642	0.245058058474446	Rrs1
ENSMUSG00000025911	-0.458589929841242	4.48076273072558	0.164906899724627	0.37635995747245	Adhfe1
ENSMUSG00000081441	-1.17658483799591	-1.67455516502817	0.115331923245874	0.29955105640514	Gm6161
ENSMUSG00000067879	2.95200938599157	-1.47370023167447	0.00114480426441391	0.00927798785544856	Vxn
ENSMUSG00000057335	0.290820615297365	7.6458438292677	0.0675170474155013	0.208020952856051	Cep170
ENSMUSG00000103634	0.503971862986405	3.00447895590799	0.0398968610024453	0.143725742333406	3110062G12Rik
ENSMUSG00000104154	0.52339920707518	3.29584057218554	0.0505235597352616	0.170091401439457	Gm38104
ENSMUSG00000025912	0.373029812268366	3.57706519800876	0.111562657687469	0.29305523619397	Mybl1
ENSMUSG00000045210	0.132622654040082	6.65530881414986	0.371366390807015	0.618091687643427	Vcpip1
ENSMUSG00000041763	0.181365372069548	6.94279466835503	0.156763782190882	0.365120499300614	Tpp2
ENSMUSG00000026504	-0.0216056932001419	5.09804234557388	0.90433987723168	0.974738799265764	Sdccag8
ENSMUSG00000102475	0.163508481915114	0.510964196063613	0.693077347183592	0.863513607145623	Gm37246
ENSMUSG00000047343	-1.1174399185831	-1.28080844245616	0.177475077493739	0.394040405560461	Mettl21c
ENSMUSG00000102211	-0.212890451434871	-0.167392225047183	0.754895044853493	0.896605731536331	Gm37490
ENSMUSG00000103251	-0.135944388119106	0.378138197007252	0.737028546829327	0.887514879379764	Gm37519
ENSMUSG00000091844	0.519575594853204	0.227878989457726	0.219428599734816	0.450312537180222	Ccdc168
ENSMUSG00000026483	0.658016653762983	7.36591627592988	0.000191324398863595	0.00208700385503126	Niban1
ENSMUSG00000019699	-0.0809622928050691	7.66238386140561	0.598561002714778	0.800411092659422	Akt3
ENSMUSG00000104391	0.259867219101068	1.70067597274739	0.456373517586823	0.692426344024562	Gm37960
ENSMUSG00000102133	-0.0661628461419909	1.55141208282603	0.857430401065904	0.952745747599568	Gm37106
ENSMUSG00000102749	0.265907821807763	2.01558146746676	0.341464620461844	0.589988698072054	Gm37598
ENSMUSG00000103163	0.414340728960251	2.53005234975031	0.0690662031658674	0.211215838124379	Gm38146
ENSMUSG00000103646	0.158987318481444	3.95322775421469	0.360841912768116	0.607887397262597	Gm37706
