Geneid	control_S4	control_S5	control_S6	disease_S1	disease_S2	disease_S3
ENSMUSG00000104478	0	1	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0
ENSMUSG00000102135	1	1	1	1	2	3
ENSMUSG00000103282	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0
ENSMUSG00000100764	7	7	3	16	9	13
ENSMUSG00000102534	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0
ENSMUSG00000100635	3	0	1	0	3	1
ENSMUSG00000102213	0	0	0	0	0	0
ENSMUSG00000100480	10	3	14	11	16	10
ENSMUSG00000103629	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0
ENSMUSG00000100025	3	8	3	6	6	5
ENSMUSG00000051285	4914	2602	3553	4618	4080	4830
ENSMUSG00000098201	0	0	0	0	0	0
ENSMUSG00000103509	1144	625	934	1095	724	1057
ENSMUSG00000048538	1	2	1	4	3	1
ENSMUSG00000103709	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0
ENSMUSG00000097797	8	12	9	28	26	28
ENSMUSG00000103498	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0
ENSMUSG00000104226	1	0	1	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0
ENSMUSG00000026312	33	3	8	45	31	11
ENSMUSG00000100290	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0
ENSMUSG00000039748	18	3	4	81	35	56
ENSMUSG00000104158	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0
ENSMUSG00000057363	425	266	380	617	559	625
ENSMUSG00000047216	10585	7227	9757	18059	18447	18669
ENSMUSG00000102788	558	375	562	901	1086	1020
ENSMUSG00000102160	1013	601	929	1367	1395	1630
ENSMUSG00000101253	0	0	1	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0
ENSMUSG00000090243	0	0	0	0	0	0
ENSMUSG00000100701	3	4	2	1	1	3
ENSMUSG00000100555	43	33	50	72	62	62
ENSMUSG00000101395	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	1
ENSMUSG00000038702	2363	1398	1789	3486	3367	3456
ENSMUSG00000101875	3	2	0	0	0	1
ENSMUSG00000099732	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0
ENSMUSG00000101054	120	86	101	46	57	64
ENSMUSG00000099884	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0
ENSMUSG00000055214	56	19	11	44	20	13
ENSMUSG00000078184	1	1	1	1	3	1
ENSMUSG00000104363	0	0	0	7	1	1
ENSMUSG00000103277	0	0	0	0	0	0
ENSMUSG00000104157	0	0	1	1	2	2
ENSMUSG00000102446	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0
ENSMUSG00000033007	1	1	1	3	3	3
ENSMUSG00000070695	63	5	18	28	17	19
ENSMUSG00000025909	106	53	57	76	74	53
ENSMUSG00000102033	0	0	0	0	0	0
ENSMUSG00000102647	0	1	0	2	2	4
ENSMUSG00000086235	0	0	1	2	0	1
ENSMUSG00000102253	9	4	3	13	1	4
ENSMUSG00000094429	0	0	0	0	0	0
ENSMUSG00000103884	2	2	0	1	5	0
ENSMUSG00000084353	0	0	1	0	0	0
ENSMUSG00000103933	11	3	3	12	7	15
ENSMUSG00000086195	0	0	0	0	3	1
ENSMUSG00000104504	0	0	0	0	0	0
ENSMUSG00000066693	0	0	1	3	0	1
ENSMUSG00000102316	1	0	0	0	0	0
ENSMUSG00000103819	1	0	5	1	2	2
ENSMUSG00000102871	0	0	0	0	0	0
ENSMUSG00000101571	0	0	0	1	0	2
ENSMUSG00000104428	0	0	1	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0
ENSMUSG00000103411	5	3	8	16	6	18
ENSMUSG00000061024	159	150	255	226	94	246
ENSMUSG00000102030	0	0	0	0	0	0
ENSMUSG00000025911	555	223	389	360	194	664
ENSMUSG00000081441	3	4	6	3	2	3
ENSMUSG00000067879	1	0	1	9	5	11
ENSMUSG00000099827	0	0	0	0	0	0
ENSMUSG00000057335	3601	1891	2506	4676	4298	4599
ENSMUSG00000103634	134	65	91	203	191	172
ENSMUSG00000104154	165	70	122	250	249	195
ENSMUSG00000103435	1	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	2	0
ENSMUSG00000100551	3	0	1	1	2	4
ENSMUSG00000100357	0	0	0	0	0	0
ENSMUSG00000025912	161	108	182	292	281	240
ENSMUSG00000045210	1880	960	1441	2262	2023	2214
ENSMUSG00000041763	2124	1182	1800	2821	2349	2945
ENSMUSG00000026504	679	364	482	809	592	701
ENSMUSG00000103367	1	1	5	4	3	3
ENSMUSG00000103584	0	0	0	0	0	0
ENSMUSG00000102475	31	7	18	38	18	30
ENSMUSG00000047343	1	10	7	3	3	7
ENSMUSG00000102211	14	8	15	26	4	16
ENSMUSG00000087082	0	0	0	0	0	0
ENSMUSG00000090106	0	0	0	0	0	0
ENSMUSG00000103251	19	12	24	21	20	30
ENSMUSG00000091844	15	7	16	24	30	21
ENSMUSG00000026483	2733	1360	1600	3940	3758	4841
ENSMUSG00000082528	0	0	0	0	0	0
ENSMUSG00000082012	0	0	0	0	0	0
ENSMUSG00000099996	0	0	0	0	0	0
ENSMUSG00000101763	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	1
ENSMUSG00000100553	0	0	0	0	2	0
ENSMUSG00000100534	0	0	0	0	0	0
ENSMUSG00000102904	0	0	0	1	0	0
ENSMUSG00000019699	4001	2233	2975	3941	3955	4223
ENSMUSG00000104391	70	19	41	89	58	63
ENSMUSG00000102133	61	26	42	56	49	67
ENSMUSG00000102749	52	40	63	84	90	89
ENSMUSG00000103163	86	50	77	134	129	134
ENSMUSG00000103646	245	156	237	379	275	355
ENSMUSG00000102427	68	41	83	82	51	113
ENSMUSG00000103633	3	0	2	1	2	1
ENSMUSG00000097892	0	0	0	14	3	8
ENSMUSG00000063659	962	617	813	1074	1043	1162
ENSMUSG00000102432	1	0	1	1	0	0
ENSMUSG00000103043	0	0	0	1	0	0
ENSMUSG00000102885	0	0	0	0	0	0
ENSMUSG00000026049	53	45	49	126	122	83
ENSMUSG00000103767	1	0	0	0	0	0
ENSMUSG00000043019	2516	1561	2158	2872	2270	3250
ENSMUSG00000101104	0	0	0	0	0	0
ENSMUSG00000015962	0	0	0	0	0	0
ENSMUSG00000032666	673	544	649	1257	973	1224
ENSMUSG00000100685	1	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0
ENSMUSG00000015961	1504	967	1463	1679	1419	1690
ENSMUSG00000089657	0	0	0	0	0	0
ENSMUSG00000102483	2	0	0	1	0	0
ENSMUSG00000014980	256	156	239	278	292	333
ENSMUSG00000026235	293	282	450	275	191	412
ENSMUSG00000032649	408	253	364	315	200	342
ENSMUSG00000101849	0	0	0	0	0	0
ENSMUSG00000101506	3	0	1	4	0	5
ENSMUSG00000102052	0	0	0	0	0	0
ENSMUSG00000026047	248	158	216	464	352	459
ENSMUSG00000080878	0	0	0	0	0	0
ENSMUSG00000091476	102	82	102	90	84	97
ENSMUSG00000104097	0	0	0	0	0	0
ENSMUSG00000102493	4	1	2	2	7	1
ENSMUSG00000004872	0	0	1	0	1	9
ENSMUSG00000118426	1	0	0	0	0	0
ENSMUSG00000041684	393	227	325	526	530	524
ENSMUSG00000032908	116	29	61	37	33	57
