Gene ID	Gene name	Infection/Control : logFC	Infection/Control : logCPM	Infection/Control : PValue	Infection/Control : QValue
ENSMUSG00000051951	Xkr4	0.18	2.54	0.81	1.00
ENSMUSG00000103147	Gm7341	-3.03	-2.72	0.78	1.00
ENSMUSG00000102331	Gm19938	-0.44	5.39	0.04	0.24
ENSMUSG00000025900	Rp1	-1.88	-2.16	0.32	0.95
ENSMUSG00000025902	Sox17	-0.01	2.51	1.00	1.00
ENSMUSG00000104238	Gm37587	-1.42	-2.44	0.78	1.00
ENSMUSG00000102735	Gm7369	-0.30	-2.51	1.00	1.00
ENSMUSG00000098104	Gm6085	0.40	5.66	0.13	0.56
ENSMUSG00000102175	Gm6119	-0.73	-1.92	0.89	1.00
ENSMUSG00000103922	Gm6123	-0.09	0.37	1.00	1.00
ENSMUSG00000033845	Mrpl15	-0.02	5.64	1.00	1.00
ENSMUSG00000025903	Lypla1	0.02	5.15	1.00	1.00
ENSMUSG00000033813	Tcea1	0.35	5.42	0.17	0.66
ENSMUSG00000062588	Gm6104	0.62	-1.37	0.71	1.00
ENSMUSG00000002459	Rgs20	-0.22	4.82	0.63	1.00
ENSMUSG00000091305	Gm17100	1.08	-1.72	0.61	1.00
ENSMUSG00000091665	Gm17101	1.51	-2.89	1.00	1.00
ENSMUSG00000033793	Atp6v1h	0.05	7.29	0.98	1.00
ENSMUSG00000104352	Gm7182	-1.72	-2.88	1.00	1.00
ENSMUSG00000025905	Oprk1	-0.37	3.62	0.28	0.88
ENSMUSG00000033774	Npbwr1	-0.89	-0.12	0.46	1.00
ENSMUSG00000025907	Rb1cc1	-0.35	7.21	0.15	0.62
ENSMUSG00000087247	Fam150a	0.80	-2.45	0.95	1.00
ENSMUSG00000103355	Gm2147	-1.59	-2.65	0.93	1.00
ENSMUSG00000103845	Gm19026	-0.43	0.03	0.77	1.00
ENSMUSG00000033740	St18	-0.18	5.25	0.62	1.00
ENSMUSG00000104385	Gm7449	-0.63	-0.39	0.53	1.00
ENSMUSG00000102135	Gm37108	0.08	5.92	0.87	1.00
ENSMUSG00000103629	Gm5694	0.33	-1.42	0.98	1.00
ENSMUSG00000051285	Pcmtd1	-0.25	7.87	0.36	1.00
ENSMUSG00000098201	Gm26983	1.39	-2.89	1.00	1.00
ENSMUSG00000048538	Gm9826	-2.43	-2.80	0.88	1.00
ENSMUSG00000097797	Gm26901	-1.30	0.69	0.02	0.15
ENSMUSG00000104226	Gm7470	3.73	-2.51	0.62	1.00
ENSMUSG00000103903	Rps2-ps2	-0.52	-2.32	1.00	1.00
ENSMUSG00000025909	Sntg1	-0.21	3.34	0.70	1.00
