Gene ID	Gene name	Control1	Control2	Control3	Control4	Infection10	Infection7	Infection8	Infection9
ENSMUSG00000051951	Xkr4	4.697672348	6.627098572	4.708187545	5.60413304	5.587066963	7.234423358	3.640129737	7.479707251
ENSMUSG00000103147	Gm7341	0	0.22852064	0	0	0	0	0	0
ENSMUSG00000102331	Gm19938	51.00329978	49.20811123	47.82173349	47.27993931	31.04363263	36.49222402	34.5812325	37.93761426
ENSMUSG00000025900	Rp1	0.223698683	0.152347094	0.067259822	0.236794354	0.118036626	0	0	0
ENSMUSG00000025902	Sox17	5.592467081	4.113371527	5.784344698	7.419556419	6.649396597	5.249758543	4.00414271	5.862473251
ENSMUSG00000104238	Gm37587	0.223698683	0.076173547	0	0.078931451	0	0	0.121337658	0
ENSMUSG00000102735	Gm7369	0.149132455	0	0.067259822	0	0.039345542	0	0	0.1347695
ENSMUSG00000098104	Gm6085	43.546677	43.11422749	41.02849146	49.01643124	66.88742139	60.94841626	49.02041379	47.57363351
ENSMUSG00000102175	Gm6119	0.298264911	0.152347094	0.269039288	0	0	0.128042891	0.121337658	0.20215425
ENSMUSG00000103922	Gm6123	1.491324555	0.457041281	1.076157153	1.89435483	1.062329634	1.152386022	1.092038921	1.14554075
ENSMUSG00000033845	Mrpl15	44.51603797	46.77055774	46.88009598	65.82883036	46.15232076	48.84836303	51.81117992	47.43886401
ENSMUSG00000025903	Lypla1	30.05018978	36.33478182	40.75945217	35.20342727	36.86677285	37.70863149	27.11896654	39.01577026
ENSMUSG00000033813	Tcea1	40.48946167	37.55355857	39.41425573	34.88770146	45.32606438	44.11077605	43.92423216	55.59241876
ENSMUSG00000062588	Gm6104	0.074566228	0.152347094	0.33629911	0.236794354	0.314764336	0.320107228	0.182006487	0.4043085
ENSMUSG00000002459	Rgs20	26.76927576	35.87774054	30.67047886	29.67822568	15.65952571	31.11442258	25.05622635	31.46867825
ENSMUSG00000091305	Gm17100	0	0.076173547	0.201779466	0.157862903	0.118036626	0.192064337	0.121337658	0.539078
ENSMUSG00000091665	Gm17101	0	0	0	0	0	0	0.060668829	0
ENSMUSG00000033793	Atp6v1h	160.2428234	173.1424719	144.4740978	145.7863905	157.5002046	164.343051	136.7475404	168.1249513
ENSMUSG00000104352	Gm7182	0	0	0	0.078931451	0	0	0	0
ENSMUSG00000025905	Oprk1	16.33000388	12.03542039	14.72990103	12.3133064	7.987145025	10.75560287	12.55844759	10.57940575
ENSMUSG00000033774	Npbwr1	0.969360961	1.294950296	1.076157153	0.947177415	0.354109878	0	1.15270775	0.74123225
ENSMUSG00000025907	Rb1cc1	175.2306352	173.5233396	164.6520444	155.1003017	110.6396641	154.0355982	107.0804831	142.1818225
ENSMUSG00000087247	Fam150a	0	0.076173547	0	0.078931451	0.078691084	0	0.121337658	0.06738475
ENSMUSG00000103355	Gm2147	0	0.076173547	0	0.157862903	0.039345542	0	0	0
ENSMUSG00000103845	Gm19026	1.118493416	1.066429655	0.605338399	1.499697574	0.314764336	1.728579032	0.54601946	0.539078
ENSMUSG00000033740	St18	46.52932611	41.28606237	37.46372089	38.59747967	39.0701232	32.90702306	35.79460908	32.2099105
ENSMUSG00000104385	Gm7449	0.745662277	0.761735468	0.33629911	1.420766123	0.472146504	0.704235902	0.424681803	0.4043085
ENSMUSG00000102135	Gm37108	58.68362124	57.28250719	53.26977908	69.22288276	55.752633	68.11881817	60.66882894	60.71365976
ENSMUSG00000103629	Gm5694	0.223698683	0.152347094	0.33629911	0.157862903	0.157382168	0	0.788694776	0.1347695
ENSMUSG00000051285	Pcmtd1	265.0083734	239.4134576	267.0214936	258.7372973	156.6739482	240.0163997	196.6276746	252.018965
ENSMUSG00000098201	Gm26983	0	0	0	0	0.039345542	0	0	0
ENSMUSG00000048538	Gm9826	0	0	0.134519644	0	0	0	0	0
ENSMUSG00000097797	Gm26901	2.460685516	2.13285931	1.076157153	3.236189502	0.511492046	1.216407467	0.788694776	1.01077125
ENSMUSG00000104226	Gm7470	0	0	0	0	0	0	0	0.4043085
ENSMUSG00000103903	Rps2-ps2	0	0.22852064	0.134519644	0	0	0	0.182006487	0.06738475
ENSMUSG00000025909	Sntg1	11.63233153	10.28342882	10.89609118	10.73467737	5.311648169	11.33179588	9.525006144	10.78156
ENSMUSG00000086235	Gm16284	0	0.152347094	0.134519644	0.315725805	0.314764336	0.192064337	0.121337658	0
ENSMUSG00000084353	Gm15452	0	0	0	0.157862903	0	0	0	0
ENSMUSG00000103933	Gm36964	0.074566228	0.380867734	0.134519644	0.078931451	0.275418794	0.512171565	0.182006487	0.20215425
ENSMUSG00000103819	Gm38008	0.074566228	0	0	0	0.039345542	0.064021446	0.121337658	0
ENSMUSG00000101571	Gm6187	0	0	0	0	0.039345542	0	0	0
ENSMUSG00000102272	Gm7512	0	0	0	0.078931451	0	0	0	0
ENSMUSG00000103411	Gm18300	0	0	0	0	0	0	0.060668829	0
ENSMUSG00000061024	Rrs1	18.86525562	15.23470936	16.1423573	18.07530234	26.00740326	22.0233773	27.30097302	25.606205
ENSMUSG00000025911	Adhfe1	9.991874518	9.750213991	11.16513046	6.788104809	9.954422124	12.4841819	8.675642539	15.16156875
ENSMUSG00000079671	2610203C22Rik	0.074566228	0.304694187	0.134519644	0	0.118036626	0	0.060668829	0
ENSMUSG00000081441	Gm6161	6.039864448	3.275462512	4.23736879	6.709173358	4.209972993	8.38680938	4.489493342	8.692632751
ENSMUSG00000067879	3110035E14Rik	362.1681682	443.4823895	305.2923324	339.326309	61.61511876	190.9119509	199.4791096	166.305563
ENSMUSG00000025912	Mybl1	5.816165764	5.94153665	6.18790363	6.709173358	6.334632261	7.874637815	3.882805052	4.851702001
ENSMUSG00000045210	Vcpip1	61.96453526	55.30199498	64.77120865	67.09173358	64.92014429	73.62466249	64.00561454	77.96415576
ENSMUSG00000025915	Sgk3	12.52712626	10.7404701	12.64484655	11.60292334	16.80054643	25.54455681	25.23823284	17.58741975
ENSMUSG00000046334	Gm6195	0.074566228	0	0	0	0	0	0.060668829	0.06738475
ENSMUSG00000046101	Mcmdc2	3.504612704	4.722759902	3.766550036	4.97268143	2.242695894	4.353458304	2.426753158	3.16708325
ENSMUSG00000098234	Snhg6	33.25653758	43.34274813	39.07795662	10.18215721	49.41800074	71.57597623	35.12725196	86.85894276
ENSMUSG00000099032	Tcf24	0	0.304694187	0.201779466	0.157862903	0.118036626	0.768257348	0.182006487	0
ENSMUSG00000025916	Ppp1r42	2.833516654	1.67581803	1.479716086	1.578629025	0.314764336	0.704235902	0.849363605	0.9433865
ENSMUSG00000025917	Cops5	108.046464	101.2346437	113.8036189	111.0565519	107.0198742	109.6047149	106.8378078	118.3950058
ENSMUSG00000056763	Cspp1	80.75522465	73.50747266	71.09363193	75.85312467	29.43046541	44.43088328	43.68155684	53.97518476
ENSMUSG00000067851	Arfgef1	75.16275757	75.79267907	77.88687396	73.48518113	71.4908498	70.93576178	73.89463365	85.71340201
ENSMUSG00000042501	Cpa6	2.460685516	0.990256108	2.017794662	0.473588708	0.944293008	0.768257348	1.031370092	1.14554075
ENSMUSG00000083422	Gm15604	0.223698683	0.076173547	0	0.473588708	0.078691084	0	0	0.1347695
ENSMUSG00000100648	Gm28659	0	0	0	0	0.039345542	0	0	0
ENSMUSG00000048960	Prex2	45.70909761	46.77055774	47.21639509	50.98971752	28.40748132	35.27581655	33.30718709	37.73546001
ENSMUSG00000101827	Gm28686	0	0	0	0	0.078691084	0.064021446	0	0
ENSMUSG00000057715	A830018L16Rik	28.33516654	32.44993094	29.66158153	31.33578615	13.25944765	21.25511996	21.29475896	19.945886
ENSMUSG00000101610	Gm7560	0	0	0	0	0	0.128042891	0	0
ENSMUSG00000097628	Gm2383	1.565890783	1.371123842	1.95053484	2.289012087	1.298402886	1.600536141	0.728025947	1.886773
ENSMUSG00000097171	Gm17644	0	0.152347094	0	0	0	0	0	0
ENSMUSG00000016918	Sulf1	12.52712626	15.23470936	15.26797961	13.18155236	16.32839993	18.24611201	15.83456435	20.68711825
ENSMUSG00000025938	Slco5a1	5.219635942	2.513727044	3.026691993	2.210080636	4.996883833	4.865629869	4.246818026	5.188625751
ENSMUSG00000042414	Prdm14	0	0	0	0	0	0	0	0.06738475
ENSMUSG00000005886	Ncoa2	48.02065067	50.27454089	49.30144958	49.17429414	54.5329212	58.19549409	47.68569955	57.00749851
ENSMUSG00000025935	Tram1	38.84900466	43.79978941	44.92956114	59.98790297	56.57888939	52.24149965	41.19413485	49.59517601
ENSMUSG00000025937	Lactb2	11.48319907	12.03542039	11.29965011	12.78689511	11.01675176	10.37147419	9.282330828	15.4984925
ENSMUSG00000067813	Xkr9	0	0	0	0	0	0	0.121337658	0
ENSMUSG00000097711	Gm5523	0.149132455	0.152347094	0	0.236794354	0	0.192064337	0.121337658	0
ENSMUSG00000025932	Eya1	6.860092953	7.922048867	8.474737581	9.392842701	5.547721421	5.889973	12.61911642	7.210168251
ENSMUSG00000025930	Msc	1.789589466	2.361379951	2.28683395	3.70977821	0.98363855	1.280428913	3.094110276	1.14554075
ENSMUSG00000081201	Smt3h2-ps4	0	0	0	0.078931451	0.078691084	0	0	0
ENSMUSG00000082193	Rpl5-ps1	97.90545703	100.168214	93.62567232	94.40201572	86.67822901	103.0745275	74.13730897	110.4436053
ENSMUSG00000032769	Trpa1	0.149132455	0.152347094	0.134519644	0.236794354	0	0.064021446	0.182006487	0
ENSMUSG00000092083	Kcnb2	40.71316035	49.05576414	51.65554335	48.85856834	23.13517869	35.65994523	31.54779105	37.39853625
ENSMUSG00000101652	Gm6060	0	0	0.067259822	0	0	0	0	0
ENSMUSG00000025925	Terf1	12.45256003	12.72098232	13.38470459	12.70796365	17.11531077	18.11806912	9.100324342	16.17234
ENSMUSG00000032719	Sbspon	0.223698683	0.837909015	0.33629911	0.868245964	0.275418794	0.256085783	0.182006487	0.4043085
ENSMUSG00000100652	Gm7634	0	0	0.067259822	0	0.118036626	0.064021446	0.060668829	0
ENSMUSG00000067795	4930444P10Rik	0.820228505	1.294950296	1.681495552	2.210080636	0.629528672	1.344450359	0.788694776	1.4824645
ENSMUSG00000043716	Rpl7	5.070503487	2.285206404	2.28683395	3.630846758	4.839501665	2.176729152	5.338856947	4.110469751
ENSMUSG00000025921	Rdh10	9.991874518	10.13108172	9.147335801	9.629637055	18.13829486	11.90798889	12.49777876	15.29633825
ENSMUSG00000025920	Stau2	79.93499615	85.00967823	79.29933022	86.9824593	45.08999112	62.22884517	66.49303652	58.48996301
