	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2
cell1	16247	3365	KO	A	1.2002215793685	TRUE	0	1.51288671417881	-5.45864443164764
cell2	25246	4387	WT	A	1.36655311732552	TRUE	0	1.88619108124424	-4.82960800510345
cell3	17478	3537	KO	A	0.841057329213869	TRUE	0	2.18788738175083	-5.42976765018402
cell4	6263	2096	KO	A	1.99584863483953	TRUE	0	1.16116208954502	-5.63568214755951
cell5	18282	3954	KO	A	1.31823651679247	TRUE	0	3.18405504151035	-5.97304205280243
cell6	22809	4290	KO	A	0.889999561576571	TRUE	0	0.679976176459079	-6.63525394779144
cell7	13461	3630	KO	A	1.27033652774682	TRUE	0	1.72096271439243	-6.01288894992767
cell8	16447	3687	WT	A	1.10050465130419	TRUE	0	0.577243756491428	-6.28077892642913
cell9	21285	4134	KO	A	0.77989194268264	TRUE	0	2.08607168121982	-5.69744018894134
cell10	25071	4542	KO	A	1.00913405927167	TRUE	0	2.39775867386509	-4.81581930499969
cell11	12908	3175	KO	A	1.38673690734428	TRUE	0	1.6294433586185	-5.54503111225067
cell12	20841	3967	KO	A	1.03162036370616	TRUE	0	0.0348534099643283	-7.27822307926117
cell13	16708	3925	KO	A	1.26286808714388	TRUE	0	1.34111804886509	-5.22645716052948
cell14	17686	3716	WT	A	0.712427909080629	TRUE	0	-0.112995196145291	-5.97520117145477
cell15	20740	3807	KO	A	1.20057859209257	TRUE	0	-0.114440489571805	-6.85377888065277
cell16	21911	4293	KO	A	1.17749075806672	TRUE	0	1.65117139740634	-5.4981694636911
cell17	21656	4216	KO	A	1.26062061322497	TRUE	0	1.13505763931919	-6.0555687366098
cell18	19943	4020	WT	A	0.917615203329489	TRUE	0	-0.28812913970303	-6.40206055026947
cell19	12698	3198	KO	A	1.37816979051819	TRUE	0	0.0440001003329806	-5.62489513736663
cell20	15545	3661	KO	A	1.11289803795433	TRUE	0	0.624275635916477	-6.10309891086517
cell21	23937	4265	KO	A	0.910723983790784	TRUE	0	1.47693176193882	-6.32552818637786
cell22	19146	3774	KO	A	0.99759740938055	TRUE	0	-0.0596364028866239	-6.56258682590423
cell23	22402	4270	WT	A	0.937416302115882	TRUE	0	2.51463384552646	-5.43163160663543
cell24	11777	3177	KO	A	0.662307888256772	TRUE	0	2.59781856461216	-5.81839660983978
cell25	26179	4624	KO	A	1.18797509454143	TRUE	0	0.867665957648044	-5.56721739154754
cell26	23825	4588	WT	A	1.34312696747114	TRUE	0	1.34976596756626	-5.98330549579559
cell27	18982	4039	KO	A	0.82709935728585	TRUE	0	1.32528514786411	-5.19202427249847
cell28	24371	4470	KO	A	0.619588855607074	TRUE	0	3.19056911392856	-5.61028341632782
cell29	20052	3920	KO	A	1.6556951924995	TRUE	0	2.46371145172763	-6.77543835025726
cell30	17734	3608	KO	A	0.721777376790346	TRUE	0	-0.0234520919735379	-6.77056602817474
cell31	19491	3800	KO	A	0.805499974347134	TRUE	0	1.72859687729526	-5.53557352405487
cell32	29411	4919	KO	A	1.45863792458604	TRUE	0	1.69788045807529	-6.24571136814056
cell33	35352	5156	KO	A	0.905182167911292	TRUE	0	3.34793014450717	-5.81660608631073
cell34	24176	4187	KO	A	1.02994705493051	TRUE	0	1.91178388519931	-6.92630295139251
cell35	24944	4170	KO	A	0.781751122514432	TRUE	0	1.99854726715732	-6.26120285373626
cell36	22273	4386	WT	A	1.39181969200377	TRUE	0	-0.0108216293270536	-6.73284153324066
cell37	27059	4438	KO	A	1.09760153738128	TRUE	0	3.00323171539951	-5.32852892261444
cell38	17077	3527	KO	A	0.755402002693682	TRUE	0	1.78135080261875	-5.29461006503997
cell39	7279	2290	KO	A	2.28053304025278	TRUE	0	1.18123454971958	-5.61550144535003
cell40	29476	5011	KO	A	1.07205862396526	TRUE	0	2.76765603943515	-4.99375395160614
cell41	8015	2765	WT	A	0.773549594510293	TRUE	0	1.0154616348331	-5.07223610263763
cell42	32611	4912	KO	A	0.775811842629788	TRUE	0	3.31177158280063	-6.11662201267181
cell43	26443	4717	KO	A	1.1080437166736	TRUE	0	2.43344564362217	-5.9616442142099
cell44	17976	3865	KO	A	0.700934579439252	TRUE	0	1.56697006149936	-4.74046282154022
cell45	14299	3273	WT	A	1.00006993496049	TRUE	0	0.396044205862766	-5.78837780338226
cell46	9820	2608	KO	A	5.94704684317719	TRUE	0	1.64162368698764	-6.2062035022348
cell47	16561	3612	WT	A	1.02046977839502	TRUE	0	-0.1362922676022	-6.36777691226898
cell48	22594	4339	KO	A	0.557670177923343	TRUE	0	2.22091121597934	-6.54174713474212
