	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	cluster	gene
ENSG00000227507	0.735	0.584742440686967	0.47	0.584742440686969	0.986	0.817	0	ENSG00000227507
ENSG00000008517	0.734	0.582630675235847	0.468	0.582630675235847	0.959	0.704	0	ENSG00000008517
ENSG00000160789	0.712	1.00741351791096	0.424	1.00741351791096	0.528	0.12	0	ENSG00000160789
ENSG00000168685	0.702	0.561042656336913	0.404	0.561042656336914	0.863	0.551	0	ENSG00000168685
ENSG00000197728	0.786	0.400101149193498	0.572	0.400101149193498	1	0.997	1	ENSG00000197728
ENSG00000234745	0.222	-0.442559507384095	0.556	-0.442559507384095	1	1	1	ENSG00000234745
ENSG00000071082	0.776	0.314251023217334	0.552	0.314251023217336	1	1	1	ENSG00000071082
ENSG00000164587	0.764	0.274009281872721	0.528	0.27400928187272	1	1	1	ENSG00000164587
ENSG00000196154	0.247	-1.36079020831653	0.506	-1.36079020831653	0.615	0.826	1	ENSG00000196154
ENSG00000145425	0.751	0.263271812180404	0.502	0.263271812180403	1	1	1	ENSG00000145425
ENSG00000198034	0.748	0.305345642229245	0.496	0.305345642229245	1	0.999	1	ENSG00000198034
ENSG00000110700	0.734	0.25882555121694	0.468	0.25882555121694	1	0.999	1	ENSG00000110700
ENSG00000122406	0.705	0.266888212068228	0.41	0.266888212068227	1	0.995	1	ENSG00000122406
ENSG00000051523	0.296	-0.74455958928102	0.408	-0.74455958928102	0.728	0.898	1	ENSG00000051523
ENSG00000129824	0.298	-1.05949549714102	0.404	-1.05949549714102	0.098	0.5	1	ENSG00000129824
ENSG00000144713	0.857	0.342487659798747	0.714	0.342487659798749	1	1	2	ENSG00000144713
ENSG00000129824.1	0.829	1.09971677226944	0.658	1.09971677226944	0.88	0.298	2	ENSG00000129824
ENSG00000197958	0.802	0.357659249677358	0.604	0.357659249677358	1	1	2	ENSG00000197958
ENSG00000166710	0.198	-0.413412876050057	0.604	-0.413412876050057	1	1	2	ENSG00000166710
ENSG00000213741	0.784	0.288741291688355	0.568	0.288741291688355	1	1	2	ENSG00000213741
ENSG00000122026	0.783	0.270722857652017	0.566	0.270722857652017	1	1	2	ENSG00000122026
ENSG00000109475	0.772	0.259966139508484	0.544	0.259966139508486	1	1	2	ENSG00000109475
ENSG00000145425.1	0.771	0.277495906404936	0.542	0.277495906404935	1	1	2	ENSG00000145425
ENSG00000205542	0.239	-0.323405211036647	0.522	-0.323405211036645	1	1	2	ENSG00000205542
ENSG00000083845	0.759	0.34045352095595	0.518	0.340453520955951	1	0.995	2	ENSG00000083845
ENSG00000137154	0.755	0.280237682496977	0.51	0.280237682496979	1	1	2	ENSG00000137154
ENSG00000112306	0.752	0.269924315726573	0.504	0.269924315726574	1	1	2	ENSG00000112306
ENSG00000170889	0.744	0.255944914253762	0.488	0.255944914253762	1	0.999	2	ENSG00000170889
ENSG00000196154.1	0.259	-1.36628971551258	0.482	-1.36628971551258	0.644	0.814	2	ENSG00000196154
ENSG00000142669	0.261	-0.733846818287229	0.478	-0.733846818287225	0.816	0.923	2	ENSG00000142669
ENSG00000163682	0.738	0.260937235203165	0.476	0.260937235203164	1	1	2	ENSG00000163682
ENSG00000124614	0.719	0.281116797221938	0.438	0.281116797221938	1	0.997	2	ENSG00000124614
ENSG00000204388	0.293	-0.874190896482176	0.414	-0.874190896482176	0.505	0.751	2	ENSG00000204388
ENSG00000204525	0.295	-0.385203078798708	0.41	-0.385203078798712	0.993	0.997	2	ENSG00000204525
ENSG00000204389	0.298	-0.85200121286966	0.404	-0.852001212869658	0.473	0.756	2	ENSG00000204389
ENSG00000116251	0.702	0.268206274503395	0.404	0.268206274503395	1	0.993	2	ENSG00000116251
ENSG00000213719	0.299	-0.799773889556656	0.402	-0.799773889556656	0.224	0.575	2	ENSG00000213719
ENSG00000161570	0.933	2.62560529896651	0.866	2.62560529896651	0.907	0.126	3	ENSG00000161570
ENSG00000105374	0.907	3.30703351200089	0.814	3.30703351200089	0.837	0.09	3	ENSG00000105374
ENSG00000145649	0.886	2.15900799700589	0.772	2.15900799700589	0.803	0.067	3	ENSG00000145649
ENSG00000172543	0.87	1.61520074817944	0.74	1.61520074817944	0.842	0.257	3	ENSG00000172543
ENSG00000077984	0.858	1.97616823538828	0.716	1.97616823538828	0.741	0.054	3	ENSG00000077984
ENSG00000166710.1	0.848	0.490336795521496	0.696	0.490336795521496	0.997	1	3	ENSG00000166710
ENSG00000234745.1	0.843	0.560671276290262	0.686	0.560671276290264	1	1	3	ENSG00000234745
ENSG00000126264	0.841	1.08662998123757	0.682	1.08662998123757	0.951	0.677	3	ENSG00000126264
ENSG00000110700.1	0.184	-0.465245672442396	0.632	-0.465245672442397	0.995	1	3	ENSG00000110700
ENSG00000204525.1	0.815	0.561917715636988	0.63	0.561917715636986	1	0.996	3	ENSG00000204525
ENSG00000206503	0.801	0.550396781181022	0.602	0.550396781181021	1	0.991	3	ENSG00000206503
