taxonomy	S001_1_107	S002_2_108	S003_3_109	S004_4_110	S005_5_111	S006_6_113	S007_7_114	S008_8_115	S009_9_116	S010_10_117	S011_11_118	S012_12_120	S013_13_121	S014_14_122	S015_15_123	S016_NC1	S017_16_107	S018_17_108	S019_18_109	S020_19_110	S021_20_111	S022_21_113	S023_22_114	S024_23_115	S025_24_116	S026_25_117	S027_26_118	S028_27_119	S029_28_120	S030_29_121	S031_30_122	S032_31_123	S033_32_107	S034_33_108	S035_34_109	S036_35_110	S037_36_111	S038_37_113	S039_38_114	S040_39_116	S041_40_117	S042_41_118	S043_42_119	S044_43_120	S045_44_121	S046_45_122	S047_46_123	S048_NC2	S049_47_107	S050_48_108	S051_49_109	S052_50_110	S053_51_111	S054_52_114	S055_53_116	S056_54_117	S057_55_118	S058_56_119	S059_57_120	S060_58_121
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	5414	6918	4645	6539	846	5103	4557	7051	5682	6310	5573	5127	4069	3767	5097	0	3326	6673	3768	3705	2537	6958	6164	5762	5419	6410	5712	123	4210	4755	8219	5743	3623	3865	3719	2691	1897	4353	4342	5488	4765	4497	7	4133	4157	2404	7084	127	2503	3461	3499	2559	503	2184	3135	3364	2321	115	933	503
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	1538	0	6363	34	1388	0	3	0	16	806	696	1401	10	639	0	0	2	0	55	0	0	0	0	0	0	315	28	88	5	9172	0	0	0	4445	0	0	0	0	0	12	55	731	0	35	234	0	0	0	13982	5729	11411	16553	18200	407	7399	12293	8682	5582	17888	12601
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	9123	5877	4477	6120	4946	6015	9338	6596	5087	5290	5909	7659	7369	7948	6145	0	7071	4642	6481	3983	2506	6443	5491	6079	6600	4643	6519	9700	6737	6448	5585	7363	9154	8287	6077	8604	4803	7625	7863	8751	4157	6979	5991	6156	2412	7745	4385	177	4126	8029	4240	4316	525	5664	5496	1795	1077	2971	2085	1090
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group	3696	3613	1703	2082	1610	1791	1876	2581	1869	1641	2473	2058	2136	2870	2172	0	2446	1690	1548	2548	1482	2372	805	2117	1868	2285	2824	2616	2225	3953	5510	3259	2266	1032	1533	2189	1046	2070	718	2234	2160	2878	1717	2844	2541	2725	3332	178	1868	1168	1494	2154	524	813	1197	2314	1450	1684	1349	1247
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	5298	7852	3123	4212	4494	1086	2090	3476	2027	4137	3055	6733	1891	5664	2988	0	7537	12964	3849	14655	11436	3839	10984	4253	3091	3185	2951	1909	5720	1956	8054	7599	8695	15469	5323	5606	6729	1661	13622	4264	4788	2017	1796	2845	3169	7633	6849	104	1612	9043	3353	2570	2217	3004	2793	4019	1474	1531	1752	1550
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	592	1587	326	496	1504	3044	1738	1236	1219	2693	674	685	2496	1298	925	0	608	3691	407	1076	3265	3227	2979	664	4248	1933	672	3294	548	1319	2562	1061	1159	3241	932	1596	2604	2462	3152	2316	2222	850	2959	2279	1891	877	994	34	115	2833	765	582	450	706	1320	1508	354	3396	609	870
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Other	304	2412	777	179	2326	230	1774	2676	1623	351	417	405	2151	455	1221	0	599	5975	1021	871	5343	1412	1484	354	2163	553	482	1943	381	1836	444	795	931	6882	3496	1214	3079	1611	1225	2658	490	439	1744	129	2064	736	345	0	351	3909	3603	543	2237	799	1999	329	726	3385	269	985
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	2525	3980	1514	2205	1639	1686	1865	2586	1994	1820	3184	3673	2725	3093	2548	9	2145	1203	2304	1825	925	1694	1245	2404	2339	1538	2192	1911	2450	2039	3117	4579	3210	1741	3174	2036	1428	2317	1617	3254	1874	2328	1860	2609	1870	2595	2668	90	1062	2589	2182	1291	420	800	2301	1080	874	1970	1549	1116
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;V9D2013 group	2502	3889	2201	2370	3758	2657	2343	3113	917	4016	5135	2643	1501	1313	2640	0	3285	533	3218	969	1320	2499	539	2559	2099	4175	4693	2901	2216	1693	1597	2715	3650	303	3596	1034	1299	2498	1090	2113	3947	4417	1944	2255	1717	3305	1709	75	943	1363	3433	560	379	174	2752	3993	1991	3167	1863	2026
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Papillibacter	860	2101	1079	2265	2259	3067	2026	2379	2467	2005	1020	1865	2205	3026	3876	0	1495	1468	978	2002	2924	4256	1253	2118	2323	2858	1262	2740	1906	4374	3483	3439	1575	850	989	1297	1197	3109	870	2304	2762	1269	2557	1639	2547	1518	2069	56	1035	798	697	1217	820	1167	1223	2242	695	2801	835	1227
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;28-4	2343	2898	246	1689	2000	1776	805	749	975	1048	662	1373	626	1656	363	0	943	262	1363	660	261	682	322	407	682	1174	318	1114	1411	583	869	29	263	352	587	807	447	803	913	678	409	186	315	361	47	671	45	15	67	456	136	339	222	235	460	476	54	301	513	186
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	396	76	55	182	133	270	456	577	747	414	104	215	1038	17	565	0	553	938	60	271	462	622	421	878	598	666	213	412	384	408	0	1799	952	467	265	206	172	316	605	841	1273	256	484	372	837	0	403	0	444	144	204	190	130	1462	573	805	129	39	95	224
Bacteria;Firmicutes;Clostridia;Other;Other;Other	396	536	1346	310	276	294	302	2745	1263	824	278	194	2414	783	522	0	381	288	618	208	143	211	152	337	177	919	174	255	219	2731	297	568	483	237	326	280	201	540	186	767	3166	153	1323	196	2402	243	447	17	263	222	304	229	9	140	365	865	130	391	89	6374
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus	0	0	0	0	5	76	0	0	0	0	0	0	48	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	40	0	0	0	0	0	0	149	0	0	0	0	0	0	247	1595	28	5214	3729	764	5212	52	124	346	5288	2849
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;Other;Other	7220	3110	6079	7140	5036	7928	6725	5483	11622	7397	2173	6380	3800	4334	3961	16	5076	1967	5071	1321	2089	3079	5547	6198	8249	7409	4852	5247	6222	4846	4849	4442	7180	2788	5137	3611	4648	3884	4566	13444	6768	6758	4856	8348	6437	6889	2097	61	4413	3957	4875	3451	2519	5603	8817	6441	3895	6511	4725	3087
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum	597	557	380	408	596	513	898	529	2332	537	621	368	394	399	390	0	632	633	356	582	945	1581	1040	364	3153	614	574	551	288	443	598	629	823	448	840	526	1142	895	761	2727	830	632	525	679	777	448	884	14	463	811	453	575	630	793	1672	462	369	548	287	457
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group	752	1900	1740	552	1141	984	2583	1995	2387	1697	1974	647	1139	802	2178	0	1203	2947	1121	853	1712	1344	3264	1960	2692	2526	2027	1297	799	2172	1305	2343	1564	1006	1602	576	775	1242	1907	2750	2417	2407	1329	1282	1872	785	2161	51	792	794	1463	436	293	2105	1512	1500	1808	1453	297	944
Bacteria;Firmicutes;Bacilli;RF39;Other;Other	3150	1408	4330	3409	2126	4120	4712	4708	6716	3072	1142	4269	3350	2507	3677	4	3597	953	3951	1118	1655	3365	1149	4866	4144	4197	2596	6162	2992	3797	4029	3799	7054	1349	4425	3252	3478	4111	1071	6964	6601	3714	8050	6524	6119	6315	2231	106	3655	1583	4755	3219	1838	1141	4628	3999	1974	8758	2405	2950
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group	339	87	462	1571	899	653	984	1969	506	1031	1105	378	1249	222	1369	0	282	57	368	1256	414	415	445	1165	935	904	430	1678	235	842	436	1875	441	73	565	2856	569	598	638	1569	1438	391	1177	596	1607	567	2766	130	144	41	270	1444	62	172	1326	1930	56	754	142	880
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	21	0	0	0	0	0	0	0	0	42	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2464	5	725	0	2085	27	0	5397	2095	701	567	3038
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group	13	122	85	795	773	105	469	255	454	854	270	409	178	0	1941	0	32	82	51	1945	245	53	339	0	176	595	395	165	519	243	0	1663	93	41	56	1916	69	52	377	248	469	569	41	864	548	0	748	4	20	99	17	875	19	226	99	224	77	66	285	140
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Other	2856	3107	2618	3148	2349	3186	2190	2775	2874	2635	3786	4043	3105	3754	3158	0	2757	2882	2850	3146	2965	3647	2809	1733	3248	2349	3016	4456	3313	4080	3353	4378	4485	2578	3517	6431	3260	3623	3902	3985	2964	3661	4662	4287	3220	2757	3216	46	1686	2710	2530	2665	1044	3153	3114	2562	1358	4325	1902	1810
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4B4 group	526	1048	508	269	293	199	417	226	353	399	384	305	320	392	249	0	638	328	459	486	230	544	346	377	385	511	615	549	469	658	680	461	744	399	490	529	356	277	418	407	272	380	340	490	288	237	450	14	448	516	423	329	191	445	211	545	270	394	217	228
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Other	163	121	240	350	230	162	234	182	478	408	263	300	374	142	631	0	102	275	212	110	110	69	173	160	134	330	143	95	384	474	58	517	147	362	135	169	162	156	426	163	823	142	251	313	441	4	183	16	95	216	173	86	41	596	112	386	221	162	100	193
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	286	136	155	88	132	179	183	274	122	113	174	165	234	148	139	0	347	2149	290	216	1563	275	2738	244	170	148	212	210	213	245	168	199	314	2099	367	227	337	70	1662	87	268	270	119	108	242	114	128	16	66	730	105	88	405	970	59	166	68	122	85	151
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	20	0	24	38	0	120	441	1069	0	1335	0	0	13	10	0	0	0	0	15	0	3	4	7	6843	0	0	0	6	0	0	0	0	0	9	2044	0	0	0	4	0	0	331	0	3	0	157	0	0	30	12	11	0	64	7	0	0	0	162	219	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Other	572	1315	245	434	513	785	406	645	924	1025	555	953	362	580	841	0	591	545	464	457	618	936	325	597	1138	1252	310	338	1010	726	881	1152	472	369	230	399	174	333	198	1234	1066	321	142	872	514	798	832	12	61	539	296	224	76	213	888	1003	67	179	378	281
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005	241	343	443	405	534	298	636	595	251	342	500	305	559	774	435	0	209	176	692	253	140	126	139	544	360	349	404	431	352	509	764	685	149	185	352	201	121	48	149	345	271	318	386	150	339	1014	449	5	33	146	654	84	0	12	242	359	117	416	100	286
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	443	281	134	585	343	403	501	330	101	493	323	554	241	305	339	0	482	193	215	455	278	414	800	143	293	566	353	1943	418	326	757	156	584	301	491	553	378	343	768	351	629	813	819	690	387	760	282	0	311	197	256	322	92	555	224	392	213	798	412	255
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Other	133	267	33	105	149	131	99	214	193	128	135	145	114	144	162	0	215	413	132	490	411	251	369	131	242	153	141	136	101	138	154	208	338	570	142	239	189	149	501	235	168	174	155	250	254	304	229	0	178	243	191	104	65	323	138	108	104	179	55	94
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	4	0	53	0	13	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	23	0	0	0	14	0	0	0	0	0	0	0	253	0	0	0	0	0	0	2355	49	93	2188	683	2717	72	26	121	42	1176	193
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	7	0	7	0	8745	551	0	89	0	54	210
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor	369	394	215	270	176	240	346	531	247	350	457	172	192	223	289	0	536	266	399	268	111	221	763	443	257	312	303	181	131	221	244	552	552	226	215	322	195	218	650	254	265	270	134	146	197	275	676	19	206	257	230	175	82	475	197	154	75	203	78	164
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella	212	235	224	157	421	250	245	128	402	126	173	162	273	116	119	0	673	406	251	390	251	1069	850	68	948	223	418	405	167	374	240	87	493	1462	610	398	436	526	811	976	399	536	143	354	256	228	141	0	272	812	518	207	81	574	561	130	334	249	180	218
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Other;Other	268	329	57	233	291	204	229	227	253	126	200	237	115	133	235	0	150	177	175	205	143	173	148	87	231	110	242	119	139	116	56	435	328	241	200	215	136	189	403	256	269	343	149	130	100	137	290	5	58	195	176	108	36	18	159	79	58	142	79	44
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	207	463	63	438	406	287	399	310	137	244	437	460	203	395	259	0	226	500	266	539	314	185	364	245	155	165	336	272	404	199	191	677	283	395	163	383	194	178	558	142	105	258	123	230	122	330	667	36	36	365	125	167	82	105	193	116	45	178	140	104
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Other	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1407	0	0	0	0	0	0	1696	49	0	1885	199	0	0	795	1554	0	193	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Other;Other	50	7	0	13	166	112	25	367	97	636	22	126	3	0	57	0	58	51	0	32	552	215	12	0	782	59	17	22	56	4	0	604	209	67	2	481	453	340	343	169	170	114	892	298	13	0	99	0	16	1822	29	35	24	25	163	19	0	728	27	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;Other	659	662	431	437	598	381	357	430	607	603	441	450	540	399	551	0	1163	611	432	461	228	758	513	529	471	768	601	647	660	363	1229	734	869	824	476	344	341	322	625	394	557	619	580	622	456	548	225	13	450	998	582	307	78	475	285	512	299	580	267	215
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	875	985	1252	637	978	885	674	1481	1177	1014	881	701	876	882	939	0	1094	667	947	621	491	1547	790	756	979	1060	989	1330	599	1060	1384	777	1194	1027	1023	692	561	1182	818	1019	1393	1452	1091	1044	890	1009	840	34	932	845	1499	970	206	926	821	1052	898	1204	577	496
Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;Other;Other	0	10	8	8	31	0	21	59	61	164	3	133	0	15	5	0	7	69	57	74	1156	105	264	4	271	14	28	3	304	0	24	188	508	11	60	2373	2996	1081	2730	281	157	110	100	976	157	48	44	0	19	243	11	96	159	217	81	5	9	9	66	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis	132	445	128	211	200	132	250	297	247	123	338	298	240	164	198	0	211	363	125	174	209	194	115	207	288	211	427	333	247	276	288	309	261	409	206	146	251	157	150	361	212	542	280	140	190	146	235	3	105	216	219	126	162	120	233	261	372	460	120	112
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;Other	1262	1637	814	710	968	1599	1293	1973	771	1423	1244	939	775	1571	1262	0	879	320	948	211	251	365	157	1280	747	1169	1022	576	984	494	1157	1457	1154	191	528	685	394	687	267	956	1012	824	570	914	513	1517	1009	34	220	473	859	254	83	71	908	799	533	649	337	444
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca	0	0	126	0	0	0	0	0	0	9	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1049	0	0	0	0	0	0	292	0	0	0	1906	82	226	1666	1251	0	890	483
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas	92	117	23	79	50	84	146	110	342	149	28	70	64	30	172	0	131	311	14	83	133	273	409	90	246	200	41	99	38	76	29	121	156	378	30	85	151	132	364	298	242	68	126	126	115	28	82	0	91	159	55	110	184	915	188	196	62	59	31	36
