Sample	Group	AnimalID
S001_1_107	Pre	107
S002_2_108	Pre	108
S003_3_109	Pre	109
S004_4_110	Pre	110
S005_5_111	Pre	111
S006_6_113	Pre	113
S007_7_114	Pre	114
S008_8_115	Pre	115
S009_9_116	Pre	116
S010_10_117	Pre	117
S011_11_118	Pre	118
S012_12_120	Pre	120
S013_13_121	Pre	121
S014_14_122	Pre	122
S015_15_123	Pre	123
S017_16_107	Day2.A	107
S018_17_108	Day2.A	108
S019_18_109	Day2.A	109
S020_19_110	Day2.A	110
S021_20_111	Day2.A	111
S022_21_113	Day2.B	113
S023_22_114	Day2.B	114
S024_23_115	Day2.B	115
S025_24_116	Day2.B	116
S026_25_117	Day2.B	117
S027_26_118	Day2.B	118
S028_27_119	Day2.C	119
S029_28_120	Day2.C	120
S030_29_121	Day2.C	121
S031_30_122	Day2.C	122
S032_31_123	Day2.C	123
S033_32_107	Day3.A	107
S034_33_108	Day3.A	108
S035_34_109	Day3.A	109
S036_35_110	Day3.A	110
S037_36_111	Day3.A	111
S038_37_113	Day3.B	113
S039_38_114	Day3.B	114
S040_39_116	Day3.B	116
S041_40_117	Day3.B	117
S042_41_118	Day3.B	118
S043_42_119	Day3.C	119
S044_43_120	Day3.C	120
S045_44_121	Day3.C	121
S046_45_122	Day3.C	122
S047_46_123	Day3.C	123
S049_47_107	Day5.A	107
S050_48_108	Day5.A	108
S051_49_109	Day5.A	109
S052_50_110	Day5.A	110
S053_51_111	Day5.A	111
S054_52_114	Day5.B	114
S055_53_116	Day5.B	116
S056_54_117	Day5.B	117
S057_55_118	Day5.B	118
S058_56_119	Day5.C	119
S059_57_120	Day5.C	120
S060_58_121	Day5.C	121
