Gene	A.1	A.2	A.3	B.1	B.2	B.3	C.1	C.2	C.3	D.1	D.2	D.3	E.1	E.2	E.3
0610005C13Rik	4	1	10	0	3	27	11	38	12	1	4	25	9	2	27
0610007N19Rik	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0610007P14Rik	249	94	126	746	186	180	357	461	301	890	143	251	240	156	200
0610008F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0610009B22Rik	145	45	93	272	131	141	161	256	200	388	77	155	87	93	137
0610009D07Rik	744	407	700	1759	712	924	1308	1953	1377	2477	586	1280	609	568	1060
0610009L18Rik	10	19	4	15	16	24	20	22	17	33	18	27	8	14	19
0610009O20Rik	698	334	382	1371	596	511	963	1180	977	1635	391	703	627	535	618
0610010B08Rik	14	9	10	16	12	14	40	37	34	26	15	11	9	10	7
0610010F05Rik	280	178	223	1199	522	411	590	768	516	472	364	500	277	306	351
0610010K14Rik	584	156	204	1079	326	345	464	579	442	1376	155	430	356	244	320
0610011F06Rik	135	78	67	317	123	131	153	208	145	506	131	218	107	120	136
0610012G03Rik	335	164	235	476	263	273	468	700	470	674	185	368	229	231	325
0610012H03Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	2192	1167	712	4578	1112	806	2026	2025	1711	3794	862	815	1719	1045	999
0610031J06Rik	1421	397	540	2104	444	578	915	1245	938	2767	380	588	1080	442	735
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	374	69	155	432	183	202	240	322	238	422	94	216	264	110	199
0610038B21Rik	8	11	11	4	9	17	11	15	17	3	7	17	10	7	11
0610038L08Rik	11	1	0	0	0	0	0	0	0	0	0	1	14	0	0
0610039K10Rik	62	0	4	1	2	14	8	9	6	0	2	11	76	0	9
0610040B10Rik	11	4	9	30	6	8	6	8	11	14	5	12	11	7	12
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0610043K17Rik	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
1100001G20Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1110001A16Rik	122	37	39	138	58	60	111	150	120	184	38	72	131	48	62
1110001J03Rik	63	19	37	132	73	68	67	111	95	252	40	98	63	24	44
1110002L01Rik	619	450	372	1183	525	484	766	887	726	981	505	493	517	558	537
1110004E09Rik	211	74	98	366	122	140	254	311	211	493	82	168	177	123	154
1110004F10Rik	1254	383	566	2478	911	814	1466	1979	1405	2461	560	1042	979	626	788
1110006O24Rik	19	13	11	32	6	6	12	27	16	47	3	17	15	10	16
1110007C09Rik	40	24	31	132	57	38	83	122	93	163	25	57	44	55	41
1110008F13Rik	1435	432	513	1516	834	694	1033	1607	1184	1985	544	904	1077	596	926
1110008J03Rik	60	37	41	168	83	67	124	168	136	204	47	76	39	57	73
1110008L16Rik	166	120	172	616	250	290	365	480	340	455	181	338	196	179	308
1110008P14Rik	221	138	186	325	127	146	186	304	204	401	93	141	156	126	226
1110012L19Rik	190	100	126	255	115	195	216	296	205	435	98	197	150	129	173
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	1	0	0	0	0	0	3	0	0	1	1	0	0	1
1110018G07Rik	1732	1478	1306	4161	1807	1406	2511	3188	2478	2431	1320	1481	1644	1631	2048
1110019D14Rik	34	19	21	39	13	24	45	61	40	44	23	42	25	20	41
1110020A21Rik	12	11	16	20	10	22	24	16	26	27	12	23	11	8	18
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	6	7	14	0	2	0	1	2	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	131	70	80	229	72	107	140	182	131	312	74	185	166	69	109
1110032F04Rik	4	2	11	80	32	30	40	50	27	23	9	43	15	15	29
1110034G24Rik	142	110	90	323	103	120	133	196	141	348	89	114	146	73	135
1110035M17Rik	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	2447	2236	2224	5500	3397	2898	6213	7213	5604	4297	2957	3401	2499	3277	3671
1110038B12Rik	193	36	83	800	162	133	191	285	199	607	85	155	165	55	110
1110038F14Rik	385	136	199	714	241	205	336	529	394	818	142	253	336	160	253
1110046J04Rik	2	0	0	3	0	0	1	0	0	0	0	0	0	1	0
1110051M20Rik	67	19	19	313	105	42	131	111	90	149	39	84	76	73	58
1110054M08Rik	35	14	11	70	15	17	18	21	9	50	8	21	17	8	7
1110057K04Rik	975	547	520	2299	823	730	1021	1288	1019	1997	606	756	746	575	695
1110058L19Rik	86	29	43	166	74	83	67	103	66	254	45	105	84	26	68
1110059E24Rik	251	167	209	595	257	288	407	557	347	649	236	329	201	183	319
1110059G10Rik	327	149	209	539	199	251	424	582	406	628	161	337	227	203	321
1110059M19Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
1110065P20Rik	86	39	68	176	78	70	93	143	113	183	36	73	53	29	78
1190002F15Rik	425	18	159	586	261	402	766	961	837	1731	208	620	444	288	474
1190002N15Rik	598	491	579	1868	1275	1073	3433	5076	3610	2351	1570	1729	799	1296	1309
1190003J15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	4	2	4	11	10	2	7	14	4	12	6	6	6	4	5
1190007I07Rik	71	59	58	213	75	65	98	140	99	215	57	102	56	49	46
1200011I18Rik	1175	908	832	3066	1520	1279	2121	2727	1992	1969	1192	1528	1264	1187	1283
1200014J11Rik	1692	956	1067	2922	1456	1244	3208	3967	2909	2814	1281	1491	1394	1404	1572
