observation	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample40	Sample41	Sample42	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93
sk_Bacteria;k__Bacteria incertae sedis;p__Caldiserica	39	39	23	46	65	46	50	59	53	99	28	51	37	64	60	63	60	33	37	52	21	47	48	50	33	40	23	22	14	52	20	37	32	55	36	38	44	62	43	24	32	19	18	30	27	55	52	27	51	34	36	69	52	103	24	21	32	67	37	28	98	52	19	39	104	18	55	50	95	32
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Levybacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Magasanikbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Thermotogae	1730	1065	690	1898	1075	556	1376	1297	1898	2132	1482	2299	555	1523	2109	1567	1045	752	1085	878	566	712	1089	1192	517	692	676	606	432	1157	394	666	1016	587	794	865	580	1180	1012	516	710	362	793	569	707	1098	498	707	1190	1158	536	1019	671	1685	532	493	747	1454	826	739	1358	932	728	1318	1907	776	992	580	2503	558
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Azambacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Thermodesulfobacteria	283	141	135	320	159	81	203	210	347	295	219	406	76	240	468	245	147	106	108	118	66	95	216	211	76	96	117	83	78	151	66	96	175	82	90	96	74	178	144	92	110	56	146	61	129	125	64	96	183	195	104	114	81	234	77	66	88	204	126	107	165	142	124	204	325	125	138	94	463	78
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Peregrinibacteria	42	10	11	50	39	6	67	44	35	35	44	27	9	84	47	12	61	56	87	20	48	62	30	41	23	23	29	34	12	35	8	17	34	18	22	20	14	31	24	9	3	12	26	9	8	37	7	17	32	25	10	22	20	29	36	6	11	50	29	28	23	50	37	28	56	31	26	5	171	20
sk_Bacteria;k__Bacteria incertae sedis;p__Planctomycetes	3806	2691	1429	3609	2918	1524	2830	2220	3062	2628	3268	3816	2023	2789	3745	3194	2487	2006	2803	3002	1383	2233	2523	2765	1287	1592	1551	1395	1094	2595	797	1833	1590	1856	1658	2113	1657	2679	2043	1633	1272	736	1805	1550	1473	2871	1606	1616	2310	2442	1086	2215	1998	3130	1289	1292	1624	3203	1951	1907	3912	2308	2141	2675	3666	2238	2113	1730	7569	1619
sk_Bacteria;k__Bacteria incertae sedis;p__Chlamydiae	703	528	350	668	439	269	457	434	701	691	463	783	261	553	786	544	409	407	419	376	188	293	327	433	172	257	257	240	164	412	133	240	338	254	335	259	203	497	364	181	257	121	300	215	292	461	230	232	511	377	212	379	248	611	218	189	251	558	285	256	484	320	350	404	735	278	362	245	1073	236
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Gottesmanbacteria	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
