Geneid	Sample_001	Sample_002	Sample_003	Sample_004	Sample_005	Sample_006	Sample_007	Sample_008	Sample_009
ENSMUSG00000051951.5	42	36	84	43	85	11	60	76	39
ENSMUSG00000102851.1	2	1	7	1	10	0	1	8	3
ENSMUSG00000103147.1	15	11	12	27	16	5	11	22	10
ENSMUSG00000102331.1	18	14	33	18	24	12	7	15	7
ENSMUSG00000102343.1	11	15	37	22	17	14	15	26	13
ENSMUSG00000025900.12	118	82	186	92	172	29	134	168	96
ENSMUSG00000102948.1	35	34	68	48	36	16	46	59	40
ENSMUSG00000025902.13	46	44	59	73	54	32	67	71	35
ENSMUSG00000104238.1	30	21	49	24	49	11	56	55	61
ENSMUSG00000102269.1	31	36	68	16	46	27	29	66	58
ENSMUSG00000103003.1	2	1	2	6	3	0	9	3	6
ENSMUSG00000104328.1	16	20	32	6	29	8	18	29	17
ENSMUSG00000102735.1	25	15	46	15	43	22	21	39	25
ENSMUSG00000098104.1	77	101	111	111	102	119	217	87	104
ENSMUSG00000102175.1	17	14	37	22	18	16	37	42	21
ENSMUSG00000103265.1	10	9	18	7	28	7	9	23	12
ENSMUSG00000103922.1	37	48	39	40	38	48	54	46	38
ENSMUSG00000033845.13	3190	2597	2203	2682	2357	3463	3637	2081	3147
ENSMUSG00000025903.14	2034	1097	1208	1606	1144	2024	1210	834	1185
ENSMUSG00000104217.1	0	1	0	0	0	0	0	0	0
ENSMUSG00000033813.15	4781	3158	3308	4474	3225	5025	4409	2636	3316
ENSMUSG00000062588.4	71	72	67	113	74	105	145	80	84
ENSMUSG00000002459.17	60	70	108	59	68	28	53	79	54
ENSMUSG00000091305.1	4	0	4	1	4	0	5	8	6
ENSMUSG00000091665.1	2	13	25	13	16	0	10	24	3
ENSMUSG00000033793.12	2955	1714	1963	2339	1513	3103	2155	1272	2026
ENSMUSG00000104352.1	12	25	16	32	42	5	38	31	26
ENSMUSG00000025905.13	88	69	89	62	82	32	105	105	51
ENSMUSG00000103936.1	5	4	1	2	4	3	1	3	2
ENSMUSG00000033774.4	37	31	37	18	22	12	35	46	22
ENSMUSG00000103090.1	5	2	4	5	5	0	3	9	2
ENSMUSG00000025907.14	5402	3418	4051	4541	3404	5445	4060	2465	3167
ENSMUSG00000087247.3	7	4	21	8	11	6	13	9	5
ENSMUSG00000103355.1	5	9	10	2	4	1	6	2	2
ENSMUSG00000102706.1	3	6	9	6	7	5	8	1	8
ENSMUSG00000103845.1	72	94	148	77	107	32	98	109	58
ENSMUSG00000033740.17	78	109	125	81	107	49	106	92	82
ENSMUSG00000104385.1	17	30	29	24	53	40	53	51	31
ENSMUSG00000102135.1	161	170	169	155	147	203	222	146	227
ENSMUSG00000103282.1	0	1	1	0	1	0	2	8	0
ENSMUSG00000102534.1	4	2	12	5	9	1	14	12	3
ENSMUSG00000102213.1	1	6	8	5	0	1	6	2	2
ENSMUSG00000103629.1	27	14	6	6	24	7	13	10	6
ENSMUSG00000051285.17	4062	3162	3205	3720	3314	4489	3725	2278	2797
ENSMUSG00000098201.1	8	9	6	14	12	4	5	6	11
ENSMUSG00000048538.7	45	58	55	85	62	94	101	63	79
ENSMUSG00000103709.1	1	5	8	3	6	0	0	1	0
ENSMUSG00000102768.1	4	9	6	5	6	4	8	19	8
ENSMUSG00000097797.6	97	75	128	93	78	49	97	72	35
ENSMUSG00000103498.1	5	18	12	21	16	8	20	22	11
ENSMUSG00000103067.1	16	26	20	7	14	6	16	13	8
ENSMUSG00000102320.1	1	0	7	8	1	0	5	3	8
ENSMUSG00000104226.1	15	11	34	16	20	3	2	13	16
ENSMUSG00000103903.1	11	18	29	19	21	20	19	43	15
ENSMUSG00000103557.1	11	6	14	13	6	4	15	8	2
ENSMUSG00000025909.16	96	72	132	57	133	41	105	143	67
ENSMUSG00000086235.1	7	3	1	1	5	0	1	14	8
ENSMUSG00000084353.1	85	108	73	94	66	99	89	58	90
ENSMUSG00000103933.1	84	68	80	75	60	110	142	68	96
ENSMUSG00000086195.1	9	5	3	4	1	4	4	0	0
ENSMUSG00000104504.1	0	3	1	7	2	2	1	1	2
ENSMUSG00000066693.2	22	12	11	8	22	10	30	13	8
ENSMUSG00000103819.1	2	5	4	4	8	4	5	1	0
ENSMUSG00000101571.2	31	48	36	31	44	29	63	40	40
ENSMUSG00000104428.1	9	4	13	19	16	1	7	8	0
ENSMUSG00000102272.1	14	23	36	24	12	3	13	20	12
ENSMUSG00000103411.1	9	11	22	12	26	5	19	14	5
ENSMUSG00000061024.8	2996	2774	2333	2987	2046	3546	4380	1887	2934
ENSMUSG00000025911.14	68	76	105	52	92	37	100	136	59
ENSMUSG00000079671.8	24	22	31	34	36	13	12	25	27
ENSMUSG00000081441.3	66	72	97	61	63	95	92	50	68
ENSMUSG00000067879.3	35	34	63	55	91	28	60	58	20
ENSMUSG00000099827.1	14	6	43	12	18	4	5	28	19
ENSMUSG00000025912.16	1414	1022	1128	1259	916	1522	1034	778	809
ENSMUSG00000045210.8	4664	3308	3482	3817	2972	5298	3874	2715	3105
ENSMUSG00000025915.14	2744	1632	1755	2266	1634	2773	1953	1282	1931
ENSMUSG00000046334.4	22	20	11	24	14	26	27	16	38
ENSMUSG00000046101.16	64	60	120	71	75	44	59	54	50
ENSMUSG00000098234.7	1889	1152	1164	1467	1128	1671	1602	824	1120
ENSMUSG00000099032.2	18	35	68	34	50	18	29	54	33
