Geneid	Control	Treat
Xkr4	26	59
Rp1	3	2
Sox17	75	169
Mrpl15	537	905
Lypla1	383	852
Tcea1	593	1264
Rgs20	359	398
Atp6v1h	1996	3445
Oprk1	162	158
Npbwr1	13	9
Rb1cc1	2248	2679
Fam150a	0	2
St18	624	993
Pcmtd1	3554	3982
Sntg1	265	306
Rrs1	253	661
Adhfe1	134	251
2610203C22Rik	2	3
3110035E14Rik	4851	1558
Mybl1	78	161
Vcpip1	831	1650
1700034P13Rik	0	0
Sgk3	144	410
Mcmdc2	26	11
Snhg6	407	1193
Snord87	13	15
Tcf24	0	3
Ppp1r42	38	8
Cops5	1340	2378
Cspp1	789	496
Arfgef1	727	1175
Cpa6	9	7
Mir467e	0	0
Prex2	496	615
A830018L16Rik	376	313
Mir6341	0	0
Gm17644	0	0
Sulf1	110	288
Slco5a1	39	93
Prdm14	0	0
Ncoa2	453	1081
Tram1	475	1321
Lactb2	39	118
Xkr9	0	0
Gm5523	2	0
Eya1	75	113
Msc	22	25
Trpa1	2	0
Kcnb2	134	140
Terf1	120	224
Sbspon	3	7
4930444P10Rik	11	16
Rpl7	52	92
Rdh10	109	320
Stau2	493	490
Ube2w	550	844
Tceb1	757	1505
D030040B21Rik	0	4
Tmem70	554	687
Ly96	12	24
Jph1	379	489
Gdap1	1905	2090
Pi15	4	6
Gm16070	0	0
Crispld1	68	40
Crisp4	0	0
Defb44-ps	0	0
Defb18	0	0
Defb41	0	1
Gm15386	0	0
Tfap2d	14	18
Tfap2b	376	676
Pkhd1	0	0
4930486I03Rik	0	0
Linc-md1	0	0
Mir206	0	0
Mir133b	0	0
Il17a	0	1
Il17f	0	5
Mcm3	63	364
6720483E21Rik	6	10
Paqr8	435	992
Efhc1	10	46
Tram2	3	11
Tmem14a	399	492
Gsta3	41	17
Gm4956	0	1
Khdc1a	0	9
Khdc1c	0	0
Khdc1b	0	0
Kcnq5	314	318
Rims1	558	516
4933415F23Rik	0	0
Mir30a	0	0
Mir30c-2	0	1
Ogfrl1	3176	5799
B3gat2	80	53
Smap1	1323	1905
Sdhaf4	322	488
Fam135a	587	985
Col9a1	23	50
Col19a1	267	322
Lmbrd1	2122	3151
Adgrb3	1302	1650
Gm20172	98	75
4931408C20Rik	0	0
Gm597	0	0
Mir6342	0	0
Phf3	1256	1926
Ptp4a1	515	790
Gm13363	0	0
4931428L18Rik	0	0
Lgsn	0	0
Pih1d3	0	0
Gm4850	0	0
Khdrbs2	108	114
Gm9839	0	0
Gm5415	0	0
Prim2	72	129
1700001G17Rik	1	0
Rab23	135	211
Bag2	105	109
Zfp451	326	509
Gm15455	291	316
Bend6	2646	2926
Dst	3949	7571
Mir6896	0	0
Mir5103	0	0
Ccdc115	304	809
Imp4	120	390
Ptpn18	76	579
Prss39	0	0
Cfc1	2	0
Prss40	0	4
Amer3	187	151
AA619741	0	15
Arhgef4	987	1409
Fam168b	1812	2521
Plekhb2	2007	4719
Hs6st1	821	1430
Uggt1	605	1008
Mir6897	0	0
Neurl3	5	188
Arid5a	91	1229
Kansl3	1005	1811
Mir6898	0	0
Fer1l5	0	0
Lman2l	239	376
Cnnm4	111	273
Cnnm3	373	1045
Ankrd23	37	40
Ankrd39	177	528
Sema4c	302	1039
Fam178b	8	17
Cox5b	3642	7247
Actr1b	1686	2826
4933424G06Rik	1	3
Zap70	18	77
Tmem131	194	319
Cnga3	1	3
Inpp4a	614	973
Coa5	796	1402
Unc50	416	888
Mgat4a	397	635
4930594C11Rik	126	149
2010300C02Rik	1126	1296
Tsga10	80	93
Lipt1	57	73
Mitd1	148	530
Mrpl30	427	1256
Lyg2	0	0
Lyg1	0	0
Txndc9	707	1821
Eif5b	4673	6413
Rev1	345	767
Aff3	436	559
Lonrf2	73	60
Chst10	961	1022
Nms	1	1
Pdcl3	250	468
Mir6349	0	0
Npas2	174	147
Rpl31	936	1862
Tbc1d8	155	448
Cnot11	242	756
Snord89	200	308
Rnf149	905	6436
Creg2	343	363
Rfx8	4	7
Gm3646	0	3
1700066B17Rik	0	0
Map4k4	1789	4452
Gm16894	51	29
Il1r2	3	342
Il1r1	36	243
Il1rl2	0	0
Il1rl1	2	6
Il18r1	0	13
Il18rap	0	99
Slc9a4	17	25
Slc9a2	0	7
Mfsd9	42	68
Tmem182	0	0
4930448I06Rik	0	0
Pantr1	807	470
Pou3f3	1215	923
2900092D14Rik	240	220
Pantr2	22	15
Dalir	27	19
Mrps9	466	747
Gpr45	38	25
Tgfbrap1	239	891
AI597479	316	356
Fhl2	369	590
Nck2	317	526
1500015O10Rik	307	285
