Gene	A.1	A.2	A.3	B.1	B.2	B.3
Xkr4	0	0	0	1	0	0
Rp1	7	18	28	18	8	9
Sox17	229	451	234	367	456	436
Mrpl15	80	130	104	157	231	207
Lypla1	184	215	189	292	344	377
Tcea1	108	192	148	175	208	219
Rgs20	0	0	0	0	0	1
Atp6v1h	233	441	370	438	635	471
Oprk1	1	1	2	1	0	0
Npbwr1	1	1	1	1	0	1
Rb1cc1	376	480	553	619	549	750
Fam150a	5	10	12	20	16	14
St18	0	1	0	1	0	0
Pcmtd1	538	720	647	710	511	968
Sntg1	0	4	1	3	1	0
Rrs1	95	152	118	199	250	168
Adhfe1	23	28	55	28	16	35
2610203C22Rik	0	14	5	8	3	12
3110035E14Rik	0	0	2	0	0	0
Mybl1	2	1	3	5	7	4
Vcpip1	79	119	92	149	179	139
1700034P13Rik	0	0	0	1	0	0
Sgk3	87	103	87	142	201	152
Mcmdc2	0	1	2	0	6	0
Snhg6	16	48	37	34	139	49
Snord87	1	0	1	0	2	2
Ppp1r42	13	24	47	25	25	19
Cops5	148	309	184	349	528	390
Cspp1	144	186	240	191	188	236
Arfgef1	192	388	265	322	340	356
Cpa6	1	0	0	0	0	0
Mir467e	0	0	0	0	0	0
Prex2	671	1071	821	826	342	1147
A830018L16Rik	5	13	21	16	5	10
Gm17644	0	0	0	0	0	0
Sulf1	63	58	78	81	19	58
Slco5a1	11	5	15	10	2	6
Prdm14	0	0	0	0	0	0
Ncoa2	178	239	218	260	211	250
Tram1	522	699	623	875	886	1183
Lactb2	32	52	48	35	53	73
Xkr9	0	0	0	0	0	0
Gm5523	0	2	0	1	1	0
Eya1	15	36	27	14	12	25
Msc	11	8	8	8	6	13
Trpa1	0	0	0	0	0	0
Kcnb2	2	6	3	7	3	5
Terf1	25	33	48	43	44	61
Sbspon	14	24	28	17	1	10
4930444P10Rik	8	9	16	6	5	9
Rpl7	522	827	606	835	859	833
Rdh10	76	113	148	108	73	139
Stau2	12	13	21	17	14	18
Ube2w	93	161	116	137	142	166
Tceb1	256	410	370	326	629	542
D030040B21Rik	0	0	1	0	0	2
Tmem70	125	182	171	177	162	225
Ly96	2	6	5	15	11	14
Jph1	13	13	14	9	14	20
Gdap1	0	1	4	1	1	2
Pi15	61	184	96	150	201	136
Crispld1	11	17	20	11	15	11
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
Gm15386	0	0	0	0	0	0
Tfap2d	1	0	1	0	0	0
Tfap2b	1	3	6	3	2	1
Pkhd1	0	1	0	2	6	3
4930486I03Rik	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	0	0	0	1	0	1
Il17f	0	0	1	0	0	1
Mcm3	144	128	86	302	359	287
6720483E21Rik	0	5	3	0	0	2
Paqr8	37	47	69	61	52	70
Efhc1	31	56	80	48	13	37
Tram2	0	0	0	1	3	0
Tmem14a	22	36	20	31	10	36
Gsta3	501	874	1097	736	171	828
Gm4956	166	333	248	293	40	365
Khdc1a	0	3	0	1	1	2
Khdc1c	0	0	0	0	0	0
Khdc1b	0	1	3	0	1	2
Kcnq5	14	29	27	16	4	32
Rims1	0	0	0	0	0	0
4933415F23Rik	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0
Ogfrl1	239	227	181	415	603	446
B3gat2	1	1	2	0	0	2
Smap1	277	502	346	649	631	752
1110058L19Rik	112	131	109	138	124	151
Fam135a	95	152	128	103	100	133
Col9a1	1	1	2	0	0	0
Col19a1	4	2	5	1	2	3
Lmbrd1	461	563	613	595	700	798
Bai3	0	0	0	0	0	0
Gm20172	0	0	3	0	0	0
4931408C20Rik	0	0	0	0	0	0
Gm597	0	1	0	0	1	0
Phf3	455	825	731	711	708	939
Ptp4a1	126	232	205	255	312	210
Gm13363	0	0	0	0	0	0
4931428L18Rik	0	1	2	0	1	0
Lgsn	0	2	0	0	0	0
Pih1d3	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0
Khdrbs2	0	2	0	1	0	0
Gm9839	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0
Prim2	18	13	18	36	44	36
1700001G17Rik	0	0	0	1	0	1
Rab23	39	53	50	48	42	60
Bag2	26	62	33	29	26	34
Zfp451	43	47	43	58	47	68
Gm15455	55	68	96	66	83	81
Bend6	2	10	8	10	5	10
Dst	543	888	715	727	514	890
Mir5103	0	0	0	0	0	0
Ccdc115	145	190	195	221	286	292
Imp4	43	94	71	116	147	142
Ptpn18	120	123	130	186	238	199
Prss39	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0
Prss40	0	0	0	0	0	0
Amer3	0	0	0	0	0	0
AA619741	5	1	2	5	1	0
Arhgef4	7	7	15	7	2	7
Fam168b	314	508	407	701	550	765
Plekhb2	344	498	345	581	475	731
Hs6st1	134	164	219	200	417	244
Uggt1	326	457	382	561	610	622
Neurl3	58	111	69	144	406	131
Arid5a	39	103	51	92	213	81
Kansl3	225	277	368	281	250	379
Lman2l	58	123	81	115	94	142
Cnnm4	52	48	70	91	107	71
Cnnm3	110	120	111	154	85	190
Ankrd23	11	6	10	9	10	9
Ankrd39	56	46	44	64	42	79
Sema4c	179	337	258	268	299	279
Fam178b	16	20	14	14	4	16
Cox5b	450	669	542	1014	1383	1117
Actr1b	213	318	225	319	290	380
4933424G06Rik	0	0	0	0	0	0
Zap70	34	34	40	39	11	42
Tmem131	66	99	73	168	88	113
Cnga3	0	0	0	0	0	0
Inpp4a	71	95	96	97	74	105
Coa5	301	350	322	432	522	550
Unc50	231	394	310	319	212	416
Mgat4a	83	85	93	188	230	184
4930594C11Rik	19	28	40	24	88	46
2010300C02Rik	40	76	78	102	20	90
Tsga10	5	16	24	13	17	21
Lipt1	6	8	15	14	20	15
Mitd1	100	120	96	156	298	153
Mrpl30	101	167	111	223	354	267
Lyg2	0	0	1	0	0	0
Lyg1	0	1	0	0	0	0
Txndc9	224	317	241	421	438	449
Eif5b	723	1114	1122	1060	1411	1444
Rev1	70	64	82	81	106	84
Aff3	131	186	136	183	105	213
Lonrf2	0	0	0	0	0	0
Chst10	11	4	7	8	1	5
Nms	0	0	0	0	0	0
Pdcl3	136	241	195	214	249	275
Npas2	1	26	1	3	11	3
Rpl31	207	377	195	499	380	436
Tbc1d8	54	141	64	87	74	135
Cnot11	68	78	116	105	198	119
Snord89	34	21	20	30	19	38
Rnf149	514	618	650	1148	2998	1294
Creg2	1	0	0	4	4	5
Rfx8	3	3	5	0	3	2
Gm3646	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Map4k4	552	958	644	676	1085	896
Gm16894	0	0	1	3	9	2
Il1r2	7	7	11	184	1082	131
Il1r1	71	155	80	170	181	206
Il1rl2	4	1	0	2	2	1
Il1rl1	8	29	46	16	5	32
Il18r1	193	452	243	385	300	482
Il18rap	0	0	4	4	9	4
Slc9a4	8	17	11	29	10	36
Slc9a2	1	3	1	2	0	0
Mfsd9	12	18	23	18	12	24
Tmem182	0	2	0	0	0	0
4930448I06Rik	0	0	0	0	0	0
2610017I09Rik	0	1	0	0	0	0
Pou3f3	3	1	4	2	0	7
2900092D14Rik	1	0	1	0	0	0
Mrps9	129	140	149	172	170	207
Gpr45	0	0	0	0	0	0
Tgfbrap1	144	243	210	227	179	315
AI597479	102	201	152	148	145	179
Fhl2	37	68	37	44	20	10
Nck2	106	258	195	194	130	204
1500015O10Rik	7	6	0	6	1	4
Uxs1	3	8	3	2	8	7
Tpp2	87	196	147	223	251	294
Mettl21c	1	0	1	0	0	0
Tex30	57	73	54	84	103	85
Kdelc1	44	72	68	87	84	99
Bivm	53	67	65	98	64	108
Ercc5	111	194	271	160	160	167
Mettl21e	8	19	29	15	5	10
Gulp1	109	174	146	100	72	169
4930521E06Rik	0	0	0	0	0	0
Col3a1	708	1692	822	2013	1793	2478
Col5a2	210	364	189	526	685	614
Wdr75	71	95	81	95	138	110
Slc40a1	40	29	24	65	53	89
Gm4776	0	0	0	0	0	0
Dnahc7b	20	29	70	22	14	41
Slc39a10	109	173	158	175	121	179
Tmeff2	31	68	42	53	13	65
9330175M20Rik	0	1	2	1	2	0
Sdpr	4440	6328	6468	4115	2042	5922
Nabp1	124	90	133	157	222	188
Myo1b	895	1048	1161	901	450	1194
Stat4	13	22	20	27	18	45
Stat1	193	286	210	416	1111	488
Gls	427	653	656	674	855	756
Nab1	643	870	944	932	1377	1233
Tmem194b	29	20	23	22	19	25
Mfsd6	367	534	529	445	371	598
Inpp1	41	61	49	69	62	103
Hibch	42	61	66	79	51	75
1700019D03Rik	3	1	3	0	1	0
Mstn	0	0	0	0	1	0
1700019A02Rik	0	0	0	0	0	0
Pms1	8	10	12	12	11	10
Ormdl1	56	77	85	101	158	110
Osgepl1	4	4	2	11	3	4
Asnsd1	73	130	83	187	190	177
Dnahc7a	19	21	42	25	8	32
Stk17b	229	325	206	420	487	438
Hecw2	134	246	125	231	76	241
Ccdc150	14	9	19	10	6	23
Gtf3c3	12	16	10	27	32	46
Pgap1	91	111	105	75	58	141
Ankrd44	268	478	256	362	193	511
Sf3b1	790	1259	1076	1379	1489	1514
Coq10b	119	146	126	171	261	162
Hspd1	314	511	393	550	782	640
Hspe1	208	337	237	515	600	520
Mob4	615	810	849	803	859	896
Rftn2	81	186	108	144	61	202
Mars2	18	18	11	27	45	30
Boll	0	1	0	0	1	0
Plcl1	46	61	55	56	45	78
9130227L01Rik	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	1	2	4	1	4	1
9130024F11Rik	2	0	0	0	0	0
BC055402	2	1	4	2	1	3
4930558J18Rik	0	1	0	0	1	2
1700066M21Rik	13	23	10	32	18	43
Tyw5	39	41	34	44	67	83
9430016H08Rik	35	80	53	96	138	93
Spats2l	86	156	87	109	149	124
Kctd18	44	82	68	82	89	119
Sgol2	21	14	20	25	8	23
Aox1	53	131	98	91	44	113
Aox3	113	239	234	153	34	151
Aox4	0	0	0	2	0	0
Aox3l1	0	0	0	0	0	0
Bzw1	220	314	319	403	721	509
Clk1	458	670	869	646	490	735
Ppil3	25	42	36	89	49	80
Nif3l1	39	57	31	80	61	57
Orc2	54	89	50	115	159	119
Fam126b	330	524	435	567	357	577
Ndufb3	425	631	615	513	543	684
Gm20257	7	5	11	15	2	6
Als2cr12	2	0	3	0	1	1
Cflar	582	828	633	965	841	1164
Casp8	36	45	37	77	97	91
Trak2	190	329	267	328	221	394
Stradb	19	35	24	31	27	48
Als2cr11	0	0	0	0	0	0
Tmem237	111	158	121	202	164	242
Mpp4	3	10	5	2	0	3
Als2	3	10	17	19	18	22
Cdk15	0	7	1	0	0	1
Fzd7	45	66	60	57	21	62
Gm973	17	25	46	21	6	25
Sumo1	191	279	231	447	392	468
Nop58	141	311	181	336	758	378
Snord70	0	0	0	0	0	0
Snord11	0	0	0	0	0	0
Bmpr2	50	104	64	96	90	109
Fam117b	262	454	347	458	318	478
Ica1l	1	2	3	2	5	4
Wdr12	24	37	34	40	62	47
Carf	4	2	2	1	1	1
Nbeal1	239	378	339	323	261	442
Cyp20a1	4	7	8	6	14	3
Abi2	125	203	240	218	248	257
Raph1	817	1255	1008	1309	1079	1569
Cd28	38	38	39	56	14	98
Ctla4	8	3	4	12	8	18
Icos	49	25	38	120	34	127
9530026F06Rik	0	0	0	0	0	0
Pard3b	160	301	227	290	165	335
Nrp2	221	290	268	380	402	502
4930487H11Rik	0	0	0	0	0	0
Ino80d	208	296	349	318	257	354
Gm11602	4	0	0	0	2	7
Ndufs1	309	409	367	438	592	563
Eef1b2	1013	1484	1151	1846	2057	1823
Snora41	0	0	0	0	0	0
Gpr1	3	0	0	1	0	0
Zdbf2	3	20	6	4	9	5
Adam23	20	49	49	52	55	74
Dytn	0	0	0	0	0	0
Mdh1b	12	18	29	9	11	16
Fastkd2	18	21	23	40	41	31
4933402D24Rik	0	0	0	0	0	0
Gm13749	0	0	0	0	0	0
Mir1958	0	0	0	0	0	0
Klf7	249	489	218	453	317	575
Creb1	660	1015	874	832	657	1072
Mettl21a	67	61	113	47	54	69
2810408I11Rik	1	1	0	4	13	4
Ccnyl1	49	111	74	79	121	84
Fzd5	41	89	51	76	55	65
Plekhm3	65	103	107	89	120	91
Akr1cl	0	0	0	1	0	0
Cryge	0	0	0	0	0	0
Crygd	0	0	0	0	0	0
Crygc	0	0	0	0	0	0
Crygb	0	0	0	0	0	0
Cryga	0	0	0	0	0	0
D630023F18Rik	0	0	0	0	0	0
Idh1	445	520	695	572	441	690
Pikfyve	82	106	97	140	125	145
Pth2r	2	0	2	0	0	0
Crygf	0	0	0	0	0	0
Map2	43	74	69	62	61	75
Unc80	3	8	6	10	0	13
Rpe	86	107	124	143	210	170
Kansl1l	32	68	52	61	55	50
Acadl	342	478	491	578	957	627
Myl1	3	12	4	2	0	4
Lancl1	59	107	65	130	67	116
Cps1	1	2	5	0	0	0
Erbb4	0	0	1	0	0	0
Ikzf2	33	56	75	84	30	110
Spag16	64	84	163	78	16	68
Vwc2l	0	0	0	0	0	0
Bard1	23	22	26	34	29	41
Abca12	1	1	0	0	0	0
Atic	62	68	102	107	144	116
Fn1	967	1495	930	2533	3511	3343
Apol7d	0	2	0	1	0	0
Gm8883	0	0	0	0	0	0
4933417E11Rik	0	0	3	2	0	0
Mreg	13	16	14	70	71	66
Pecr	13	11	7	17	18	23
Tmem169	0	0	0	0	1	0
Xrcc5	27	45	47	73	36	81
March4	10	22	38	13	4	12
Smarcal1	37	88	76	89	63	96
Ankar	1	1	7	1	0	1
Rpl37a	350	652	435	787	1010	887
Igfbp2	472	602	805	362	229	583
Igfbp5	776	533	1764	984	364	1014
Tnp1	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0
Pinc	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0
6030407O03Rik	0	0	0	2	1	1
Tns1	3305	5143	4574	4445	2200	5787
Rufy4	18	4	8	26	23	33
Cxcr2	9	11	11	109	307	97
Cxcr1	4	1	1	4	0	7
Arpc2	3157	4119	4834	5604	12198	6639
Gpbar1	0	0	0	0	1	0
Aamp	586	780	870	694	576	805
Pnkd	118	173	123	149	63	183
Tmbim1	401	764	510	658	598	893
Gm216	34	56	62	28	14	36
Slc11a1	15	22	17	73	284	53
Ctdsp1	225	440	329	420	307	513
Mir26b	0	0	0	0	0	0
Vil1	0	4	1	2	7	7
Usp37	77	129	103	78	103	112
Rqcd1	66	92	86	109	137	112
Plcd4	3	6	6	6	3	13
Zfp142	40	86	48	54	46	55
Bcs1l	20	43	32	45	47	48
Rnf25	3	5	3	2	4	2
Stk36	31	49	46	37	14	36
Ttll4	9	21	18	10	7	17
Cyp27a1	72	129	119	78	21	132
Prkag3	11	23	24	14	21	39
Wnt6	4	1	0	0	0	1
Wnt10a	0	3	0	1	4	0
Cdk5r2	2	3	2	0	0	0
Fev	0	0	0	0	0	0
Cryba2	0	1	0	0	0	0
Mir375	0	0	0	0	0	0
Ccdc108	61	92	146	71	31	71
Ihh	0	0	0	0	0	1
Nhej1	9	13	11	11	8	11
Slc23a3	4	1	10	6	15	10
Cnppd1	250	345	243	439	383	440
Fam134a	218	273	345	308	406	385
Zfand2b	15	40	11	49	34	41
Abcb6	42	52	69	51	58	54
Atg9a	71	123	102	113	121	154
Ankzf1	59	53	82	75	44	80
Glb1l	15	39	23	26	26	41
Stk16	170	251	200	254	178	354
Tuba4a	288	368	282	581	617	495
A630095N17Rik	0	0	1	0	0	0
Dnajb2	140	222	209	241	152	231
Ptprn	10	21	15	10	24	26
Resp18	1	6	15	3	0	2
Dnpep	105	115	105	230	172	270
Des	269	561	343	400	217	382
Gm15179	0	0	0	0	0	0
Speg	18	52	27	56	26	56
Gmppa	59	111	61	163	165	146
Asic4	0	0	0	0	0	0
Chpf	149	214	225	205	177	196
Tmem198	5	18	20	9	12	24
Obsl1	0	4	4	1	5	6
Inha	5	5	3	6	0	9
Stk11ip	60	66	64	61	67	102
Slc4a3	24	37	34	39	17	45
Gm17751	0	1	8	0	0	0
Epha4	116	252	154	188	234	222
Pax3	0	0	0	0	0	3
