Sample	Tissue	Individual
S1	Tissue4	Animal-57
S2	Tissue4	Animal-58
S3	Tissue4	Animal-59
S4	Tissue4	Animal-60
S5	Tissue4	Animal-61
S6	Tissue4	Animal-62
S19	Tissue1	Animal-57
S20	Tissue1	Animal-58
S21	Tissue1	Animal-59
S22	Tissue1	Animal-60
S23	Tissue1	Animal-61
S24	Tissue1	Animal-62
S37	Tissue2	Animal-57
S38	Tissue2	Animal-58
S39	Tissue2	Animal-59
S40	Tissue2	Animal-60
S41	Tissue2	Animal-61
S42	Tissue2	Animal-62
S55	Tissue3	Animal-57
S56	Tissue3	Animal-58
S57	Tissue3	Animal-59
S58	Tissue3	Animal-60
S59	Tissue3	Animal-61
S60	Tissue3	Animal-62
