SampleID	Disease	Tissue
Sample_02	Peak_disease	Sciatic_nerve
Sample_03	Peak_disease	Sciatic_nerve
Sample_04	Peak_disease	Sciatic_nerve
Sample_06	Peak_disease	DRG
Sample_07	Peak_disease	DRG
Sample_08	Peak_disease	DRG
Sample_09	No_disease	DRG
Sample_10	No_disease	DRG
Sample_12	No_disease	DRG
Sample_13	No_disease	Sciatic_nerve
Sample_14	No_disease	Sciatic_nerve
Sample_15	No_disease	Sciatic_nerve
Sample_18	Recovery	DRG
Sample_19	Recovery	DRG
Sample_20	Recovery	DRG
Sample_21	Recovery	Sciatic_nerve
Sample_22	Recovery	Sciatic_nerve
Sample_24	Recovery	Sciatic_nerve
