Gene ID	Gene name	Infection/Control : logFC	Infection/Control : logCPM	Infection/Control : PValue	Infection/Control : QValue
ENSMUSG00000051951	Xkr4	0.181576585803007	2.54037265707389	0.813718411884024	1.000e+00
ENSMUSG00000103147	Gm7341	-3.02664147210149	-2.72063929059569	0.777343826397992	1.000e+00
ENSMUSG00000102331	Gm19938	-0.442969091636665	5.39000640357766	0.0382469168189166	2.400e-01
ENSMUSG00000025900	Rp1	-1.88443987743017	-2.16448360934435	0.320597837810792	9.483e-01
ENSMUSG00000025902	Sox17	-0.0147591200778041	2.51425895032026	1	1.000e+00
ENSMUSG00000104238	Gm37587	-1.42382404445155	-2.44229089482333	0.783981279323036	1.000e+00
ENSMUSG00000102735	Gm7369	-0.302505387273011	-2.51276727475296	1	1.000e+00
ENSMUSG00000098104	Gm6085	0.39553216398778	5.65691825643331	0.128519052724321	5.598e-01
ENSMUSG00000102175	Gm6119	-0.730645356838327	-1.91524986328251	0.888964779400579	1.000e+00
ENSMUSG00000103922	Gm6123	-0.0875461021834348	0.367654351624864	1	1.000e+00
ENSMUSG00000033845	Mrpl15	-0.0192355948560746	5.63663729766017	1	1.000e+00
ENSMUSG00000025903	Lypla1	0.0238801131505576	5.1503756752507	1	1.000e+00
ENSMUSG00000033813	Tcea1	0.347251327844243	5.42306069175099	0.168204424144272	6.561e-01
ENSMUSG00000062588	Gm6104	0.616789846421054	-1.36855330851098	0.713273013516446	1.000e+00
ENSMUSG00000002459	Rgs20	-0.224655925378402	4.82136387727176	0.628994283166766	1.000e+00
ENSMUSG00000091305	Gm17100	1.0752862569372	-1.72472276288961	0.605363323607416	1.000e+00
ENSMUSG00000091665	Gm17101	1.51104205222815	-2.88613508240864	1	1.000e+00
ENSMUSG00000033793	Atp6v1h	0.0451869097987827	7.2908478350323	0.983030092378099	1.000e+00
ENSMUSG00000104352	Gm7182	-1.71705408960135	-2.88494027354745	1	1.000e+00
ENSMUSG00000025905	Oprk1	-0.372801498368632	3.61514224971618	0.277758135232923	8.781e-01
ENSMUSG00000033774	Npbwr1	-0.891115035825603	-0.120937169638273	0.46383576032682	1.000e+00
ENSMUSG00000025907	Rb1cc1	-0.346380543948853	7.20564635737008	0.151019116269405	6.165e-01
ENSMUSG00000087247	Fam150a	0.80410578778307	-2.45356248800276	0.946409788960102	1.000e+00
ENSMUSG00000103355	Gm2147	-1.58728179266986	-2.65116297593758	0.931021081707603	1.000e+00
ENSMUSG00000103845	Gm19026	-0.433447347994224	0.0276582144192238	0.771802807846006	1.000e+00
ENSMUSG00000033740	St18	-0.182571823255692	5.25448546630517	0.620006997166103	1.000e+00
ENSMUSG00000104385	Gm7449	-0.627040588310786	-0.387979429027824	0.530352575374168	1.000e+00
ENSMUSG00000102135	Gm37108	0.0849673438459058	5.9186299264852	0.868152068184964	1.000e+00
ENSMUSG00000103629	Gm5694	0.334554397207228	-1.41729459809795	0.976847376477988	1.000e+00
ENSMUSG00000051285	Pcmtd1	-0.251989188552358	7.86884954848082	0.362379057415849	1.000e+00
ENSMUSG00000098201	Gm26983	1.38866858620365	-2.88997394176273	1	1.000e+00
ENSMUSG00000048538	Gm9826	-2.42876427037209	-2.80225046475864	0.87873804961429	1.000e+00
ENSMUSG00000097797	Gm26901	-1.30279175026191	0.68834601262964	0.0204857337347488	1.498e-01
ENSMUSG00000104226	Gm7470	3.73322552306936	-2.51068935007946	0.618645262602183	1.000e+00
ENSMUSG00000103903	Rps2-ps2	-0.520306281683009	-2.32257171638653	1	1.000e+00
ENSMUSG00000025909	Sntg1	-0.213371164390599	3.33939740840549	0.703271582655716	1.000e+00
ENSMUSG00000086235	Gm16284	0.213039557368637	-1.78035910842995	1	1.000e+00
ENSMUSG00000084353	Gm15452	-2.4768119559646	-2.80118653981678	0.87873804961429	1.000e+00
ENSMUSG00000103933	Gm36964	0.81415964085704	-1.4574035808601	0.651782312017692	1.000e+00
ENSMUSG00000103819	Gm38008	1.30296982757013	-2.58297439026536	0.756577656652948	1.000e+00
ENSMUSG00000101571	Gm6187	1.38866858620365	-2.88997394176273	1	1.000e+00
ENSMUSG00000102272	Gm7512	-1.71705408960135	-2.88494027354745	1	1.000e+00
ENSMUSG00000103411	Gm18300	1.51104205222815	-2.88613508240864	1	1.000e+00
ENSMUSG00000061024	Rrs1	0.609343977875556	4.41965431904287	0.00788055400968115	7.096e-02
ENSMUSG00000025911	Adhfe1	0.318754513943634	3.41324004191225	0.470755357858212	1.000e+00
ENSMUSG00000079671	2610203C22Rik	-1.19547678068271	-2.21962897255602	0.724386421432385	1.000e+00
ENSMUSG00000081441	Gm6161	0.379677836621966	2.54704981460093	0.508291192931183	1.000e+00
ENSMUSG00000067879	3110035E14Rik	-1.2037226923574	8.00510865779264	0.000418333411722849	6.192e-03
ENSMUSG00000025912	Mybl1	-0.0562861333923923	2.60304720089828	1	1.000e+00
ENSMUSG00000045210	Vcpip1	0.212004260584897	6.05118657619165	0.427182492507221	1.000e+00
ENSMUSG00000025915	Sgk3	0.878079809465663	4.07100742454938	0.000454325403283288	6.648e-03
ENSMUSG00000046334	Gm6195	0.51719582474265	-2.72344916178035	1	1.000e+00
ENSMUSG00000046101	Mcmdc2	-0.445414276519549	1.89556102386311	0.346978044744729	9.825e-01
ENSMUSG00000098234	Snhg6	0.957042175391381	5.53932591142797	0.0688751029751441	3.657e-01
ENSMUSG00000099032	Tcf24	0.671363220677669	-1.54432878514032	0.87873804961429	1.000e+00
ENSMUSG00000025916	Ppp1r42	-1.42550324242713	0.45590869215648	0.0137931056642022	1.108e-01
ENSMUSG00000025917	Cops5	0.0667713596722885	6.77670151157296	0.892662121931672	1.000e+00
ENSMUSG00000056763	Cspp1	-0.780872784319974	5.87884624533168	0.000500743463411957	7.214e-03
ENSMUSG00000067851	Arfgef1	0.0375868029977438	6.24225963499062	1	1.000e+00
ENSMUSG00000042501	Cpa6	-0.590339253176988	0.435476686740075	0.54796807387402	1.000e+00
ENSMUSG00000083422	Gm15604	-1.60724372943553	-2.05912354038097	0.52458224945322	1.000e+00
ENSMUSG00000100648	Gm28659	1.38866858620365	-2.88997394176273	1	1.000e+00
ENSMUSG00000048960	Prex2	-0.462586686051177	5.34381970406718	0.0281310838385685	1.908e-01
ENSMUSG00000101827	Gm28686	2.58597005597143	-2.73286982272289	0.83604614065087	1.000e+00
ENSMUSG00000057715	A830018L16Rik	-0.651259210617608	4.62391682720057	0.00695307725612354	6.444e-02
ENSMUSG00000101610	Gm7560	2.27600320732735	-2.80328375800201	0.87873804961429	1.000e+00
ENSMUSG00000097628	Gm2383	-0.341085571163083	0.759499731240767	0.714071091586789	1.000e+00
ENSMUSG00000097171	Gm17644	-2.51926235097812	-2.80033752159218	0.87873804961429	1.000e+00
ENSMUSG00000016918	Sulf1	0.374081661280955	4.00705113524438	0.181010257870523	6.884e-01
ENSMUSG00000025938	Slco5a1	0.604184127887633	2.07472931908798	0.195309822432695	7.200e-01
ENSMUSG00000042414	Prdm14	1.53174977517813	-2.88562342381927	1	1.000e+00
ENSMUSG00000005886	Ncoa2	0.184644568077281	5.69932836627614	0.536940508794698	1.000e+00
ENSMUSG00000025935	Tram1	0.143583464248375	5.59911436305408	0.749983601364869	1.000e+00
ENSMUSG00000025937	Lactb2	-0.00474527081474219	3.56371002596512	1	1.000e+00
ENSMUSG00000067813	Xkr9	2.26340080744628	-2.80356518033918	0.87873804961429	1.000e+00
ENSMUSG00000097711	Gm5523	-0.721122327266432	-2.15554591189568	0.947166043253456	1.000e+00
ENSMUSG00000025932	Eya1	-0.0180100676376082	3.01734173421447	1	1.000e+00
ENSMUSG00000025930	Msc	-0.588634340122965	1.11456100742813	0.429819022145319	1.000e+00
ENSMUSG00000081201	Smt3h2-ps4	0.303533206579872	-2.73183079615487	1	1.000e+00
ENSMUSG00000082193	Rpl5-ps1	-0.00875128975851645	6.57123450112162	1	1.000e+00
ENSMUSG00000032769	Trpa1	-1.37379141344487	-2.10392732460488	0.590666555102043	1.000e+00
ENSMUSG00000092083	Kcnb2	-0.541554842294693	5.30920202102931	0.0257307842965191	1.788e-01
ENSMUSG00000101652	Gm6060	-1.69457954641908	-2.88547437138982	1	1.000e+00
ENSMUSG00000025925	Terf1	0.280535125618866	3.82177358659437	0.517792967708602	1.000e+00
ENSMUSG00000032719	Sbspon	-0.942379184543949	-0.913028751507643	0.371600900756361	1.000e+00
ENSMUSG00000100652	Gm7634	1.5323538406783	-2.52395393425529	0.757228531953159	1.000e+00
ENSMUSG00000067795	4930444P10Rik	-0.476440958283535	0.457212497965348	0.598257371264692	1.000e+00
ENSMUSG00000043716	Rpl7	0.367587642016522	1.95862196349237	0.632856550249504	1.000e+00
ENSMUSG00000025921	Rdh10	0.622731788698574	3.62487885381569	0.0287002439871338	1.938e-01
ENSMUSG00000025920	Stau2	-0.473243222581777	6.13498254432852	0.0279988090541343	1.904e-01
ENSMUSG00000025939	Ube2w	-0.141992104745054	5.404283801803	0.676290770154516	1.000e+00
ENSMUSG00000079658	Eloc	-0.220169097829382	6.83352002627616	0.466524703588419	1.000e+00
ENSMUSG00000097744	D030040B21Rik	1.03282819668422	-2.59455497284105	0.978243511223489	1.000e+00
ENSMUSG00000025940	Tmem70	-0.232930593629343	5.27554080466623	0.450532861315072	1.000e+00
ENSMUSG00000025779	Ly96	0.93186124557002	0.391538240790418	0.139647250346055	5.883e-01
ENSMUSG00000091020	Gm5828	-0.134712566101266	2.78703287562224	0.835832436883122	1.000e+00
ENSMUSG00000042686	Jph1	-0.172062523271536	4.7398533765108	0.697602130807445	1.000e+00
ENSMUSG00000100110	Gm28783	3.41419534127889	-2.52812880473039	0.423896899661015	1.000e+00
ENSMUSG00000025777	Gdap1	-0.35695918555817	7.22705780462334	0.0966062030070114	4.649e-01
ENSMUSG00000099899	Gm28784	0.430931226806208	-0.449400449702972	0.74460566111327	1.000e+00
ENSMUSG00000100398	Gm5251	2.35653922026529	-0.459702793436424	0.00459622943557397	4.595e-02
ENSMUSG00000101589	Rbm6-ps1	0.024605673259509	1.56421764661841	1	1.000e+00
ENSMUSG00000067780	Pi15	-0.89060677252955	-0.98272362024678	0.581774155941319	1.000e+00
ENSMUSG00000025776	Crispld1	-0.520562685889403	2.03303099412	0.39169951710323	1.000e+00
ENSMUSG00000100554	Gm7690	-0.252449684316277	-0.0937815271882554	0.888569489967643	1.000e+00
ENSMUSG00000099473	Gm18775	-1.49802877240492	-2.64708655167392	0.904882684504579	1.000e+00
ENSMUSG00000099591	Gm17969	-1.4429668432102	-2.64782872250345	0.983030092378099	1.000e+00
ENSMUSG00000109887	Gm28756	0.704791657376022	-0.438406424332664	0.476085769032408	1.000e+00
ENSMUSG00000067773	Defb41	1.38866858620365	-2.88997394176273	1	1.000e+00
ENSMUSG00000101685	Gm17837	0.194584650430534	2.31525714991299	0.838518919210646	1.000e+00
ENSMUSG00000042596	Tfap2d	-0.204314785475354	0.328728316038005	0.895272762608314	1.000e+00
ENSMUSG00000100720	Gm10075	0.922396438754569	-2.03703023767322	0.849781192436923	1.000e+00
ENSMUSG00000025927	Tfap2b	-0.152581625366813	4.46421742610728	0.79641079939787	1.000e+00
ENSMUSG00000100204	Gm4849	0.429287977330951	-0.899789926591069	0.89823784970422	1.000e+00
ENSMUSG00000043760	Pkhd1	-2.90786464352659	-2.72349832123789	0.767060422545897	1.000e+00
ENSMUSG00000090142	Gm15795	-1.1115992039996	-2.50900373202297	0.949783696231256	1.000e+00
ENSMUSG00000099906	Gm28653	-0.152216208641713	-1.06984200549755	1	1.000e+00
ENSMUSG00000025929	Il17a	1.38866858620365	-2.88997394176273	1	1.000e+00
ENSMUSG00000041872	Il17f	1.19743168820869	-2.12703784223051	0.759826024704944	1.000e+00
ENSMUSG00000041859	Mcm3	1.85392579756359	3.306740038157	1.54049608524453e-12	6.203e-11
ENSMUSG00000097934	6720483E21Rik	0.0141321074708817	-0.257821388616171	1	1.000e+00
ENSMUSG00000025931	Paqr8	-0.225870479879648	6.6206807393325	0.383824292687089	1.000e+00
ENSMUSG00000100929	Gm28064	-0.811556367755345	-1.5171757111529	0.634356782145669	1.000e+00
ENSMUSG00000041809	Efhc1	0.925151581810895	0.426104551052421	0.123552706291586	5.454e-01
ENSMUSG00000041779	Tram2	1.46122563860176	1.7753744038611	0.00306081795776312	3.278e-02
ENSMUSG00000100819	Gm2693	-1.4391935816923	-2.64785196562329	0.931341195465059	1.000e+00
ENSMUSG00000025933	Tmem14a	-0.348666352011285	4.78481930883852	0.191433555580821	7.118e-01
ENSMUSG00000025934	Gsta3	-1.24443805122117	0.747306062221841	0.0709733546054211	3.734e-01
ENSMUSG00000096375	Gm7094	-0.382379970493364	2.76852754566473	0.323293094645298	9.500e-01
ENSMUSG00000025936	Gm4956	1.53098278735237	-2.27220207421149	0.63380692423535	1.000e+00
ENSMUSG00000067750	Khdc1a	2.81865417483619	-2.04722313998381	0.233550762095687	7.972e-01
ENSMUSG00000041722	Khdc1c	-1.71705408960135	-2.88494027354745	1	1.000e+00
ENSMUSG00000028033	Kcnq5	-0.252197065594634	4.46516277323551	0.517507827127606	1.000e+00
ENSMUSG00000082935	Gm7658	0.206203520796508	2.74137512643426	0.781706836569092	1.000e+00
ENSMUSG00000097109	Gm26580	-8.44773138611155	0.526127034207768	0.0136929841536611	1.102e-01
ENSMUSG00000041670	Rims1	-0.689116359670784	7.56417954656803	0.000195968481636302	3.196e-03
ENSMUSG00000073730	4933415F23Rik	0.648155900405673	-2.51093482508601	1	1.000e+00
ENSMUSG00000097970	Gm27028	1.38866858620365	-2.88997394176273	1	1.000e+00
ENSMUSG00000100775	Gm29107	-0.279311764375337	0.663035078811449	0.804531914960887	1.000e+00
ENSMUSG00000026158	Ogfrl1	-0.0508977577547811	7.96449960207653	0.94389994123595	1.000e+00
ENSMUSG00000097920	Gm7784	-0.267576364405481	-2.26765319987243	1	1.000e+00
ENSMUSG00000099503	Gm28822	-0.874022623752721	-1.64431017396037	0.684273304098111	1.000e+00
ENSMUSG00000026156	B3gat2	-0.784837391172821	3.89130256833536	0.0391416186995346	2.432e-01
ENSMUSG00000026155	Smap1	-0.0536996321070731	6.58112427123664	1	1.000e+00
ENSMUSG00000026154	Sdhaf4	-0.174051467422054	4.55073569994526	0.650332875639164	1.000e+00
ENSMUSG00000026153	Fam135a	-0.178996284500193	5.34135072397346	0.654327947354136	1.000e+00
ENSMUSG00000026147	Col9a1	0.541514857568383	0.8371873766358	0.352670665156319	9.928e-01
ENSMUSG00000026141	Col19a1	-0.411439094246701	3.42670486720146	0.197156062526333	7.251e-01
ENSMUSG00000099997	Tubb4b-ps2	-1.79491502433352	-2.57621462548749	0.832323912014857	1.000e+00
ENSMUSG00000100131	Gm28439	-6.37932735865708	0.0624672840210254	0.0422179159043978	2.569e-01
ENSMUSG00000067736	Gm10222	-1.65718534580784	1.25932805190867	0.162752694579686	6.446e-01
ENSMUSG00000101939	Gm28438	-0.320864042471	4.70038025990964	0.3090023874449	9.286e-01
ENSMUSG00000101111	Gm28437	-8.35051375791743	0.434920964932605	0.0147031417510169	1.164e-01
ENSMUSG00000100862	Gm10925	-8.03724550027531	0.145108278586222	0.0186992593932568	1.400e-01
ENSMUSG00000102070	Gm28661	-9.39772776225739	1.44014609959373	0.00836578524401092	7.478e-02
ENSMUSG00000101249	Gm29216	-8.28403906347823	3.90986490731027	0.000544710200005612	7.723e-03
ENSMUSG00000073725	Lmbrd1	-0.247418812124092	7.29479988652032	0.283644474695494	8.869e-01
ENSMUSG00000100450	Gm9443	0.293419130191967	-0.558538502740675	0.903581737375661	1.000e+00
ENSMUSG00000099392	Gm29414	1.38866858620365	-2.88997394176273	1	1.000e+00
ENSMUSG00000033569	Adgrb3	-0.271600682262281	7.11994347820039	0.201095726601108	7.326e-01
ENSMUSG00000080849	Gm15702	1.14846028457023	-1.97610222391427	0.607852783921357	1.000e+00
ENSMUSG00000101301	Gm29214	-0.383243203745002	1.31978013840604	0.535813547245343	1.000e+00
ENSMUSG00000101514	Gm5524	-0.448313702162425	1.03743571829324	0.513803048853475	1.000e+00
ENSMUSG00000101372	Gm19028	-0.586017041872189	-1.13511120160545	0.713842310685063	1.000e+00
ENSMUSG00000086240	Gm7846	1.06741445547855	-0.944433128251154	0.373098541077186	1.000e+00
ENSMUSG00000048411	Gm597	-1.71705408960135	-2.88494027354745	1	1.000e+00
ENSMUSG00000081557	Gm5697	0.0380035396050785	1.45141379045569	1	1.000e+00
ENSMUSG00000099492	Gm5525	0.265468405546646	0.0715956760106331	0.919539503756392	1.000e+00
ENSMUSG00000101726	Gm7858	0.0555826961546029	-1.58420685093192	1	1.000e+00
ENSMUSG00000053185	Gm9898	-0.92707280348741	-2.72258659758277	1	1.000e+00
