#Observation	PValue	QValue
K00186	0.139145992815737	0.252906908041741
K00187	0.430272497085064	0.574938919333349
K00184	0.448850069816229	0.589094020478067
K00185	0.335876327927336	0.483582122589952
K00183	0.895683122007815	0.932499544814271
K00180	0.193200052412264	0.325058172145789
K01365	0.596193623369736	0.715516675288856
K01361	0.798538504293923	0.864050908684455
K00188	0.104906531770164	0.203924838962162
K00189	0.016178764094608	0.0445462888078146
K10110	0.0112034500305021	0.033709671457025
K10111	0.734320687401246	0.819815878297155
K10112	0.171408839073056	0.295110720230276
K19265	0.235194496361679	0.375588199804676
K10117	0.582905053068708	0.704718505146709
K19269	0.661390729210953	0.765607140157563
K19268	0.4012960693728	0.549298653292177
K20679	0.475455534061479	0.614039605252915
K17818	0.0385679089594686	0.0901511590967193
K17819	0.482670692098013	0.619052274953997
K09456	0.000260664021627165	0.00225687165663928
K13589	0.906998954010375	0.93909531723954
K18326	0.00340570236357776	0.0127114594816528
K18324	0.760301846448727	0.838168302293094
K07274	0.00169237435639419	0.00731398798675961
K05845	1.89325418664643e-05	0.000833206355846039
K05846	0.000134972231918355	0.00169479092960918
K05847	0.00128535096067331	0.00596510641822045
K04083	0.342012136665472	0.490649629311183
K15549	0.0255445507115858	0.0644436608883466
K04081	2.81558953572377e-05	0.000931319530519748
K04080	1.71951172946862e-05	0.000833206355846039
K04087	0.00964952148256957	0.0297731599198556
K04086	0.0136135392121728	0.0390899763841916
K04085	0.082384468082096	0.168238799440815
K04084	7.16241542643638e-05	0.00131204453797294
K15540	0.000571343127118023	0.0034260398824003
K04088	0.000220703810546505	0.0020753068826328
K03468	4.41208202002868e-05	0.0011460157940799
K00832	0.000950896876625894	0.00473334662302398
K00989	0.963356565495886	0.97678714896227
K01101	0.00527302553177112	0.0180652577269494
K03286	0.260160781752127	0.405163211960868
K00982	0.00597457037727165	0.0201300713373196
K01104	0.314768163162668	0.463547792496715
K00980	0.380438408566856	0.52961770249217
K00981	0.626162834695344	0.737523979595846
K05592	0.904621054319452	0.937777598766102
K02967	0.0148136634229533	0.0416434900531502
K18220	0.370561546540073	0.519418731672773
K18221	0.910211695013467	0.940500884081774
K05596	0.000411465910701748	0.00284733406975786
K04486	0.758691220401777	0.837488508904043
K05595	0.950994340730444	0.967346278340381
K02618	0.00142775532622381	0.00646106876960483
