	Sample24_M30_Fec3	Sample13_M14_Fec3	Sample22_M26_Fec1	Sample15_M16_Fec2	Sample16_M18_Fec3	Sample12_M13_Fec1	Sample11_M12_Fec3	Sample17_M19_Fec2	Sample19_M23_Fec2	Sample18_M20_Fec3	Sample23_M29_Fec3	Sample14_M15_Fec1	Sample20_M24_Fec3
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Other	151376.324387301	619743.012143084	65991.0797966893	408309.34176699	471833.775314325	647387.848687244	614448.206562547	607847.347682465	178579.497243672	441165.669718231	523288.264008352	435934.613617234	59220.1202875863
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	172782.295805898	121339.510271166	151764.131669355	159465.824399439	93136.963539449	132507.369602365	140212.903808799	144540.444884958	158073.046773441	149416.245620098	144535.271865083	85122.4417118072	126659.249234516
Bacteria;Firmicutes;Bacilli;RF39;Other;Other	6589.42855114666	11832.9019320262	5395.08329344818	34369.7484161784	5490.81230638383	58534.9089548479	42934.4310345851	83932.4099270846	42766.6109903939	37315.6707972084	25508.4808360617	56349.3609457189	1831.2528065555
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;Other	6331.52528104307	6083.70046328557	13772.814261323	3494.18964278627	17243.4071402533	24238.3989193314	13388.1559140104	77330.2624667914	36648.5543389256	23130.341209175	47603.044688049	6632.26991662001	2206.15495592907
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	55681.3160153645	53749.8071859354	40068.3625086578	46957.004673233	48683.948839821	64388.3998503327	45682.4104914838	40914.0379108678	42148.8267682587	28850.5417737676	60069.5954725904	59391.2291029656	34620.7715633052
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Other	107390.921671134	74844.1500294238	121652.548897386	110424.56625507	103197.184717241	77332.0346473906	66633.0058708794	119818.53505189	112954.870034274	112753.215155762	93326.5171039671	54437.80445346	145188.067001633
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	15525.776860236	62488.5934184212	20352.1841313817	16817.0647720064	14385.1760766563	24959.7798395496	25193.4756608472	14489.3844505704	16620.3884277672	16085.6646749283	19256.0261348917	27709.2580225703	14390.47481057
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Other	19613.5436913778	36314.0470952819	26909.6227685403	18615.2442373	35238.9803498743	21332.2643550238	29920.0003267129	28962.705282016	16261.6750084629	26873.4254712406	22976.8120613548	27875.480326245	30280.5582186343
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group	11038.2599604335	14404.3629525902	5987.22658175347	5660.17854416255	14121.9179523776	18178.7991894985	12047.1419390439	8369.14556402126	3407.77748339113	10154.3157673473	9474.57859625149	19414.7650692034	13424.3808102612
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	10483.7679297108	11811.9957448672	394.762192203525	3596.35893058704	8179.80600437317	10944.3791038818	11409.6107050434	1028.07162398726	0	5336.29448643207	0	9258.58231468006	259.547641874008
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	52741.2187361836	36146.7975980094	38906.0071649474	33470.6586835316	28018.1860839449	36460.6527961711	46605.7315890018	23581.3928752077	32662.8496799886	15912.9069397561	64250.6848126366	32845.5272061181	21744.3246636669
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;Other;Other	28059.8757872703	11937.4328678215	24365.5997521176	25011.041653628	6449.82404482758	9604.67168061941	13014.4307078722	18039.4442771514	12774.1834318931	37853.1393066332	19371.1019882875	13796.451204999	2321.50946342863
