Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0050907~detection of chemical stimulus involved in sensory perception	47	12.051282051282051	3.103442185246833E-21	OR1A2, OR7A10, RTP4, OR10J1, OR51F1, OR1E2, OR8K1, OR10H4, OR5K1, OR52N1, PKD2L1, OR4K17, OR8S1, OR2T12, OR2T35, OR51J1, OR6S1, OR4S2, OR52N2, CST2, OR5D18, OR51S1, OR56B1, OR51B6, OR11H6, OR8B2, OR5B3, OR6B2, OR8D1, OR51G1, OR2F2, OR2L8, TAS2R31, OR2J2, OR6N1, OR1L4, OR52K2, OR51I1, OR10Z1, OR6V1, OR51A4, OR2B11, OR4C11, OR5A2, OR5A1, OR9G1, OR2A2	335	484	19277	5.587880843715308	1.2568940850249674E-17	1.2568940850249674E-17	1.2541009870582453E-17
GOTERM_BP_FAT	GO:0009593~detection of chemical stimulus	47	12.051282051282051	6.586721398303108E-20	OR1A2, OR7A10, RTP4, OR10J1, OR51F1, OR1E2, OR8K1, OR10H4, OR5K1, OR52N1, PKD2L1, OR4K17, OR8S1, OR2T12, OR2T35, OR51J1, OR6S1, OR4S2, OR52N2, CST2, OR5D18, OR51S1, OR56B1, OR51B6, OR11H6, OR8B2, OR5B3, OR6B2, OR8D1, OR51G1, OR2F2, OR2L8, TAS2R31, OR2J2, OR6N1, OR1L4, OR52K2, OR51I1, OR10Z1, OR6V1, OR51A4, OR2B11, OR4C11, OR5A2, OR5A1, OR9G1, OR2A2	335	522	19277	5.181100245896952	2.6676221663127587E-16	1.0327528069101152E-16	1.0304578006725372E-16
GOTERM_BP_FAT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	43	11.025641025641026	8.787023219759195E-20	OR1A2, OR7A10, OR10J1, OR51F1, OR1E2, OR8K1, OR10H4, OR5K1, OR52N1, OR4K17, OR8S1, OR2T12, OR2T35, OR51J1, OR6S1, OR4S2, OR52N2, OR5D18, OR51S1, OR56B1, OR51B6, OR11H6, OR8B2, OR5B3, OR6B2, OR8D1, OR51G1, OR2F2, OR2L8, OR2J2, OR6N1, OR1L4, OR52K2, OR51I1, OR10Z1, OR6V1, OR51A4, OR2B11, OR4C11, OR5A2, OR5A1, OR9G1, OR2A2	335	433	19277	5.714460032401503	3.558744404002474E-16	1.0327528069101152E-16	1.0304578006725372E-16
GOTERM_BP_FAT	GO:0050906~detection of stimulus involved in sensory perception	48	12.307692307692308	1.0200027722569039E-19	OR1A2, OR7A10, RTP4, OR10J1, OR51F1, OR1E2, OR8K1, OR10H4, OR5K1, OR52N1, PKD2L1, OR4K17, OR8S1, OR2T12, OR2T35, OR51J1, OR6S1, OR4S2, OR52N2, CST2, OR5D18, OR51S1, OR56B1, OR51B6, OR11H6, OR8B2, OR5B3, OR6B2, OR8D1, OR51G1, OR2F2, OR2L8, TAS2R31, OR2J2, OR6N1, OR1L4, OR52K2, OR51I1, OR10Z1, OR6V1, OR51A4, OR2B11, OR4C11, OR5A2, OR5A1, OR9G1, KCNK4, OR2A2	335	552	19277	5.003763789746918	4.131011227640461E-16	1.0327528069101152E-16	1.0304578006725372E-16
GOTERM_BP_FAT	GO:0007606~sensory perception of chemical stimulus	47	12.051282051282051	2.5431244479178615E-19	OR1A2, OR7A10, RTP4, OR10J1, OR51F1, OR1E2, OR8K1, OR10H4, OR5K1, OR52N1, PKD2L1, OR4K17, OR8S1, OR2T12, OR2T35, OR51J1, OR6S1, OR4S2, OR52N2, CST2, OR5D18, OR51S1, OR56B1, OR51B6, OR11H6, OR8B2, OR5B3, OR6B2, OR8D1, OR51G1, OR2F2, OR2L8, TAS2R31, OR2J2, OR6N1, OR1L4, OR52K2, OR51I1, OR10Z1, OR6V1, OR51A4, OR2B11, OR4C11, OR5A2, OR5A1, OR9G1, OR2A2	335	540	19277	5.0083969043670535	1.029965401406734E-15	2.0599308028134678E-16	2.0553531788072157E-16
GOTERM_BP_FAT	GO:0007608~sensory perception of smell	43	11.025641025641026	9.711617950529519E-19	OR1A2, OR7A10, OR10J1, OR51F1, OR1E2, OR8K1, OR10H4, OR5K1, OR52N1, OR4K17, OR8S1, OR2T12, OR2T35, OR51J1, OR6S1, OR4S2, OR52N2, OR5D18, OR51S1, OR56B1, OR51B6, OR11H6, OR8B2, OR5B3, OR6B2, OR8D1, OR51G1, OR2F2, OR2L8, OR2J2, OR6N1, OR1L4, OR52K2, OR51I1, OR10Z1, OR6V1, OR51A4, OR2B11, OR4C11, OR5A2, OR5A1, OR9G1, OR2A2	335	462	19277	5.355760160237772	3.933205269964455E-15	6.555342116607425E-16	6.540774689681631E-16
GOTERM_BP_FAT	GO:0051606~detection of stimulus	49	12.564102564102564	5.989771906152404E-16	OR7A10, RTP4, OR10J1, OR5K1, OR52N1, PKD2L1, OR4K17, OR2T12, OR52N2, OR5D18, OR56B1, OR11H6, OR5B3, OR8D1, OR51G1, OR2L8, HLA-A, OR10Z1, OR2B11, OR4C11, OR5A2, OR5A1, OR1A2, OR51F1, OR8K1, OR1E2, OR10H4, OR8S1, OR2T35, OR51J1, OR6S1, OR4S2, CST2, OR51S1, OR51B6, OR8B2, OR6B2, OR2F2, TAS2R31, OR2J2, OR6N1, OR1L4, OR51I1, OR52K2, OR6V1, OR51A4, OR9G1, KCNK4, OR2A2	335	713	19277	3.9545875112515967	2.248201624865942E-12	3.465510888559605E-13	3.4578097532516955E-13
GOTERM_BP_FAT	GO:0007600~sensory perception	55	14.102564102564102	1.5478266961671913E-13	OR7A10, RTP4, OR10J1, OR5K1, OR52N1, PKD2L1, OR4K17, OR2T12, OR52N2, OR5D18, OR56B1, OR11H6, HMCN1, OR5B3, OR8D1, OR51G1, OR2L8, OR10Z1, OR2B11, OR4C11, OR5A2, OR5A1, OR1A2, OR51F1, SLC45A2, OR8K1, OR1E2, OR10H4, PTAFR, OR8S1, OR2T35, OR51J1, OR6S1, OR4S2, CST2, OR51S1, OR51B6, OR8B2, OR6B2, GRXCR1, OR2F2, TAS2R31, OR2J2, OR6N1, OR1L4, TYR, OR51I1, OR52K2, OR6V1, MYO15A, OR51A4, VSX1, OR9G1, KCNK4, OR2A2	335	1016	19277	3.115039957691856	6.267986130126246E-10	7.835872649346406E-11	7.818459599014525E-11
GOTERM_BP_FAT	GO:0050877~neurological system process	66	16.923076923076923	1.29757580215132E-12	OR7A10, RTP4, OR10J1, OR5K1, OR52N1, PKD2L1, OR4K17, OR2T12, OR52N2, OR5D18, OR56B1, OR11H6, HMCN1, OR5B3, OR8D1, CTSC, SCN1B, OR51G1, OR2L8, TMPRSS11E, NGF, OR10Z1, OR2B11, OR4C11, MAPT, OR5A2, OR5A1, OR1A2, OR51F1, SLC45A2, OR8K1, OR1E2, OR10H4, PTAFR, FOXO6, DNAH9, OR8S1, OR2T35, OR51J1, OR6S1, OR4S2, CST2, OR51S1, OR51B6, OR8B2, OR6B2, GRXCR1, DNAH11, OR2F2, TAS2R31, OR2J2, CTNS, OR6N1, OR1L4, LILRB2, TYR, OR51I1, OR52K2, AGT, OR6V1, MYO15A, OR51A4, VSX1, OR9G1, KCNK4, OR2A2	335	1461	19277	2.5994912501149288	5.255396118286626E-9	5.83909110968094E-10	5.826115351659427E-10
GOTERM_BP_FAT	GO:0007186~G-protein coupled receptor signaling pathway	61	15.64102564102564	6.20035438408224E-11	OR7A10, OR10J1, OR5K1, OR52N1, GPR20, OR4K17, OR2T12, PIK3CG, OR52N2, PREX2, AKAP12, OR5D18, OR56B1, OR11H6, OXER1, OR5B3, OR8D1, OR51G1, OR2L8, OR10Z1, TIAM2, OBSCN, TYRO3, OR2B11, OR4C11, VN1R4, OR5A2, OR5A1, OR1A2, OR51F1, OR8K1, OR1E2, OR10H4, PTAFR, OR8S1, OR2T35, OR51J1, OR6S1, OR4S2, PDE11A, GRK5, OR51S1, OR51B6, OR8B2, OR6B2, GPR157, OR2F2, TAS2R31, OR2J2, OR6N1, OR1L4, OR51I1, OR52K2, AGT, OR6V1, NMS, OR51A4, RGS11, ADGRL4, OR9G1, OR2A2	335	1406	19277	2.4965435978004713	2.511141978800424E-7	2.5111435255533074E-8	2.5055632066076333E-8
