Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	16	13.91304347826087	1.8873990177767487E-9	OR51F1, OR52H1, OR2L8, OR51M1, OR2J2, OR6N1, OR2T35, OR6S1, OR8U1, OR51S1, OR10D3, OR51B6, OR8B2, OR12D2, OR4C46, OR9G1	93	433	19349	7.687898880031788	8.02144260347859E-7	8.021445825551182E-7	7.813831933595739E-7
GOTERM_BP_DIRECT	GO:0016266~O-glycan processing	7	6.086956521739131	3.9894671405609915E-7	MUC16, MUC17, MUC5B, MUC3A, MUC4, MUC20, MUC6	93	60	19349	24.27293906810036	1.695380141236713E-4	8.477617673692107E-5	8.258196980961253E-5
GOTERM_BP_DIRECT	GO:0050776~regulation of immune response	10	8.695652173913043	8.542772401684315E-7	HLA-B, HLA-C, IGHV3-48, LILRB1, LILRB2, HLA-A, KIR2DL1, KIR2DL3, KIR2DL4, MICB	93	215	19349	9.676919229807451	3.630020809485268E-4	1.2102260902386112E-4	1.1789025914324355E-4
GOTERM_BP_DIRECT	GO:0006955~immune response	13	11.304347826086957	2.725521713293486E-6	GBP6, HLA-B, HLA-C, IGHV3-48, HLA-A, LILRB2, KIR2DL1, KIR2DL3, IGLV5-48, PKHD1L1, HLA-DRB1, HLA-DQB1, MICB	93	478	19349	5.658365951320466	0.0011576776802784128	2.895866820374329E-4	2.8209149732587584E-4
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	19	16.52173913043478	7.936482836833791E-6	OR51F1, OR52H1, OR2L8, TAS2R31, OR51M1, OR2J2, OR6N1, OR2T35, OR6S1, OR8U1, ADGRF2, HCAR3, OR51S1, OR10D3, OR51B6, OR8B2, OR12D2, OR4C46, OR9G1	93	1165	19349	3.3931515067608107	0.003367336353967354	6.669569316748913E-4	6.496945169727177E-4
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	12	10.434782608695652	9.415862564821996E-6	IGLV5-48, HLA-B, HLA-C, TRBV7-3, LILRB1, LILRB2, HLA-A, TRBV7-6, HLA-DRB1, TRBV6-5, MICB, HLA-DQB1	93	450	19349	5.548100358422939	0.0039937640569198685	6.669569316748913E-4	6.496945169727177E-4
GOTERM_BP_DIRECT	GO:0002223~stimulatory C-type lectin receptor signaling pathway	7	6.086956521739131	2.316490097983233E-5	MUC16, MUC17, MUC5B, MUC3A, MUC4, MUC20, MUC6	93	120	19349	12.13646953405018	0.009796891651939532	0.0014064404166326773	0.001370038429378655
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	5	4.3478260869565215	7.300401558421265E-5	HLA-B, HLA-C, HLA-A, HLA-DRB1, HLA-DQB1	93	47	19349	22.133379089453214	0.03055141598768607	0.0038783383279112973	0.0037779578064830047
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	4	3.4782608695652173	1.1183802858335813E-4	HLA-B, HLA-A, HLA-DRB1, HLA-DQB1	93	20	19349	41.61075268817205	0.046421777658848806	0.0052812402386585786	0.005144549314834474
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	4	3.4782608695652173	2.4985348588852025E-4	P2RX7, HLA-B, HLA-A, HLA-DRB1	93	26	19349	32.00827129859388	0.10075611757131508	0.01061877315026211	0.010343934315784738
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	5	4.3478260869565215	3.846156407931925E-4	HLA-B, HLA-C, HLA-A, HLA-DRB1, HLA-DQB1	93	72	19349	14.448178016726404	0.15082763353721618	0.014860149757918798	0.014475534117125606
GOTERM_BP_DIRECT	GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	3	2.608695652173913	6.146190898299291E-4	HLA-B, HLA-C, HLA-A	93	8	19349	78.02016129032258	0.22994506256975555	0.021767759431476654	0.021204358599132556
GOTERM_BP_DIRECT	GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	3	2.608695652173913	7.877790156079473E-4	HLA-B, HLA-C, HLA-A	93	9	19349	69.35125448028674	0.28461758101048673	0.025754313971798278	0.025087731727822322
GOTERM_BP_DIRECT	GO:0016045~detection of bacterium	3	2.608695652173913	0.0014309036080876218	HLA-B, HLA-A, HLA-DRB1	93	12	19349	52.01344086021505	0.45587133281001924	0.04343814524551709	0.04231386383916253
GOTERM_BP_DIRECT	GO:0045596~negative regulation of cell differentiation	4	3.4782608695652173	0.0015411639443112734	PRAMEF19, PRAMEF18, PRAMEF10, PRAMEF9	93	48	19349	17.337813620071685	0.48081755334008824	0.043666311755486076	0.042536124862991145
GOTERM_BP_DIRECT	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I	3	2.608695652173913	0.00726542184798121	HLA-B, HLA-C, HLA-A	93	27	19349	23.117084826762248	0.9549091535760303	0.19128390432358386	0.18633302679991462
GOTERM_BP_DIRECT	GO:0045087~innate immune response	9	7.82608695652174	0.008058853121122162	IGHV4-31, IGHV3-20, HLA-B, HLA-C, IGHV3-48, HLA-A, LILRA2, LILRA4, CD177	93	604	19349	3.1001388592181156	0.9678996392349828	0.19128390432358386	0.18633302679991462
GOTERM_BP_DIRECT	GO:0043312~neutrophil degranulation	8	6.956521739130435	0.008101435947822375	PTPRB, HLA-B, HLA-C, LILRB2, ABCA13, PRSS2, CD177, HRNR	93	482	19349	3.4531744969437383	0.9684800038052651	0.19128390432358386	0.18633302679991462
GOTERM_BP_DIRECT	GO:0002767~immune response-inhibiting cell surface receptor signaling pathway	2	1.7391304347826086	0.014197317393306102	LILRB1, LILRB2	93	3	19349	138.70250896057348	0.9977051825316251	0.3175715732713207	0.3093520737278277
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	6	5.217391304347826	0.015801440824619303	ADGRF2, P2RX7, TRBV7-3, LILRB2, TRBV7-6, TRBV6-5	93	308	19349	4.0529953917050685	0.9988514283651345	0.3357806175231602	0.3270898250696196
GOTERM_BP_DIRECT	GO:0007608~sensory perception of smell	4	3.4782608695652173	0.016722343762410087	OR51M1, OR51B6, OR8B2, OR8U1	93	113	19349	7.364734989056999	0.9992284351211422	0.3384283856678232	0.329669062744656
GOTERM_BP_DIRECT	GO:2001198~regulation of dendritic cell differentiation	2	1.7391304347826086	0.018885306992720226	HLA-B, LILRB2	93	4	19349	104.02688172043013	0.9996973739111946	0.3648297941775498	0.3553871406811897
GOTERM_BP_DIRECT	GO:0042130~negative regulation of T cell proliferation	3	2.608695652173913	0.020210364572493155	LILRB1, LILRB2, HLA-DRB1	93	46	19349	13.568723702664798	0.9998296047699966	0.37345238883954746	0.36378656230487677
GOTERM_BP_DIRECT	GO:0002774~Fc receptor mediated inhibitory signaling pathway	2	1.7391304347826086	0.02355124401810567	LILRB1, LILRB2	93	5	19349	83.2215053763441	0.9999600957647096	0.4170532794872879	0.4062589593123228
GOTERM_BP_DIRECT	GO:0042270~protection from natural killer cell mediated cytotoxicity	2	1.7391304347826086	0.028195231071759586	HLA-B, HLA-A	93	6	19349	69.35125448028674	0.9999947387852975	0.47931892821991295	0.4669130265483387
GOTERM_BP_DIRECT	GO:0060337~type I interferon signaling pathway	3	2.608695652173913	0.042711879248455265	HLA-B, HLA-C, HLA-A	93	69	19349	9.04581580177653	0.9999999912272731	0.6981749492535957	0.6801045388023261
GOTERM_BP_DIRECT	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	3	2.608695652173913	0.05079975754450503	HLA-B, HLA-C, HLA-A	93	76	19349	8.21264855687606	0.9999999997617229	0.7996258132005422	0.7789296156824105
GOTERM_BP_DIRECT	GO:0045953~negative regulation of natural killer cell mediated cytotoxicity	2	1.7391304347826086	0.060097061175029436	LILRB1, KIR2DL4	93	13	19349	32.00827129859388	0.9999999999963669	0.9121875356924111	0.8885779759450781
GOTERM_BP_DIRECT	GO:0051926~negative regulation of calcium ion transport	2	1.7391304347826086	0.0645690859130683	LILRB1, LILRB2	93	14	19349	29.721966205837177	0.9999999999995214	0.9462710866570354	0.9217793644141475
GOTERM_BP_DIRECT	GO:0030277~maintenance of gastrointestinal epithelium	2	1.7391304347826086	0.06902006310917493	MUC4, MUC6	93	15	19349	27.740501792114696	0.9999999999999369	0.9738149261232099	0.9486103045059031
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	2	1.7391304347826086	0.07345009073792595	HLA-DRB1, HLA-DQB1	93	16	19349	26.00672043010753	0.9999999999999917	0.9738149261232099	0.9486103045059031
GOTERM_BP_DIRECT	GO:0050871~positive regulation of B cell activation	3	2.608695652173913	0.07652810903863873	IGHV4-31, IGHV3-20, IGHV3-48	93	96	19349	6.501680107526881	0.999999999999998	0.9738149261232099	0.9486103045059031
GOTERM_BP_DIRECT	GO:0002381~immunoglobulin production involved in immunoglobulin mediated immune response	2	1.7391304347826086	0.0778592663266584	HLA-DRB1, HLA-DQB1	93	17	19349	24.476913345983554	0.9999999999999989	0.9738149261232099	0.9486103045059031
GOTERM_BP_DIRECT	GO:0006910~phagocytosis, recognition	3	2.608695652173913	0.07790519408985679	IGHV4-31, IGHV3-20, IGHV3-48	93	97	19349	6.434652477552378	0.9999999999999989	0.9738149261232099	0.9486103045059031
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	3	2.608695652173913	0.08208307465449086	PIKFYVE, HLA-DRB1, HLA-DQB1	93	100	19349	6.241612903225806	0.9999999999999999	0.9967230493759603	0.9709255116274061
GOTERM_BP_DIRECT	GO:0032755~positive regulation of interleukin-6 production	3	2.608695652173913	0.08490615535239429	P2RX7, LILRB2, LILRA2	93	102	19349	6.119228336495889	1.0	1.0	0.9764150943396226
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	4	3.4782608695652173	0.09676806284638322	GBP6, IGHV4-31, IGHV3-20, IGHV3-48	93	230	19349	3.6183263207106124	1.0	1.0	0.9764150943396226
GOTERM_BP_DIRECT	GO:0006911~phagocytosis, engulfment	3	2.608695652173913	0.10243287461208818	IGHV4-31, IGHV3-20, IGHV3-48	93	114	19349	5.475099037917374	1.0	1.0	0.9764150943396226
