NAME	DESCRIPTION	Control1	Control2	Control3	Control4	Infection10	Infection7	Infection8	Infection9
ENSMUSG00000051951	ENSMUSG00000051951	2.26233463365125	2.74998439809697	2.26549316996019	2.51200763078424	2.50768479156274	2.87468354377785	1.90308831494719	2.9221421286488
ENSMUSG00000102331	ENSMUSG00000102331	5.67534454500411	5.62375308568418	5.58260819108153	5.56620444548707	4.96086532676832	5.19346519805046	5.11608326478627	5.24935485730026
ENSMUSG00000025902	ENSMUSG00000025902	2.50905404341673	2.07497513558401	2.55688176044887	2.91064755937844	2.75475852950753	2.4194737781161	2.03708089747267	2.57591088887727
ENSMUSG00000098104	ENSMUSG00000098104	5.44779991465015	5.43343446630398	5.36206625150345	5.61813383435365	6.06581831281667	5.9318819636712	5.61825080889893	5.57511968142539
ENSMUSG00000103922	ENSMUSG00000103922	0.670228107282385	-0.84414384867366	0.234080839686317	0.995922112815212	0.217019271751637	0.324679311621943	0.253431341686809	0.316772222591356
ENSMUSG00000033845	ENSMUSG00000033845	5.4794904987692	5.55061005727299	5.55397775565613	6.04283758169539	5.53145385110968	5.61318870777066	5.69797337486111	5.57103552389929
ENSMUSG00000025903	ENSMUSG00000025903	4.91409517806755	5.18724444641264	5.35259795591096	5.14173634255996	5.2081571985554	5.24064372579618	4.76654038597903	5.28967846939942
ENSMUSG00000033813	ENSMUSG00000033813	5.34303330087095	5.23471431273768	5.30430132945724	5.12877598378112	5.50544841359017	5.46632615362313	5.46022593668103	5.79940904611951
ENSMUSG00000002459	ENSMUSG00000002459	4.74788553006286	5.16903268075156	4.9434749904136	4.89618588913895	3.97815221178017	4.96414087323421	4.65284361668879	4.98042195255792
ENSMUSG00000033793	ENSMUSG00000033793	7.3250159730714	7.43664885244887	7.17566528893208	7.1887014926744	7.30012559750819	7.36144423413132	7.09642569473984	7.39424789326955
ENSMUSG00000025905	ENSMUSG00000025905	4.03826091587262	3.60115218146155	3.89043706462835	3.63381553682968	3.0156304832212	3.44036794367853	3.66202858089086	3.41675946612817
ENSMUSG00000025907	ENSMUSG00000025907	7.45393428735329	7.43981708722229	7.36415255745079	7.2779875518144	6.79102824072173	7.26805628599187	6.74389841368338	7.15260754900931
ENSMUSG00000033740	ENSMUSG00000033740	5.54316567479493	5.37107308640043	5.23126807171483	5.27416770296256	5.291681760826	5.04470112105016	5.16569528050787	5.01390484916179
ENSMUSG00000102135	ENSMUSG00000102135	5.87734233077469	5.84253909944493	5.73795113430338	6.11525974443855	5.80355338860409	6.09209785665414	5.92525958524436	5.92632350827005
ENSMUSG00000051285	ENSMUSG00000051285	8.05043842796133	7.90396290906532	8.06135225508717	8.01590170800457	7.29254203031645	7.90759013127673	7.62005611231114	7.97796083507294
ENSMUSG00000097797	ENSMUSG00000097797	1.3565300829368	1.15889235140234	0.234080839686317	1.73820123897168	-0.709594361909004	0.396606114933543	-0.170240087262257	0.151561741596728
ENSMUSG00000025909	ENSMUSG00000025909	3.55241783907382	3.37621102459112	3.45891886978179	3.43758428905443	2.43606804749284	3.51498015667684	3.26678746162119	3.44381349365675
ENSMUSG00000061024	ENSMUSG00000061024	4.2452869117724	3.93872891823437	4.02168912508405	4.18390745797533	4.70638706382785	4.46749973552496	4.77615521968645	4.68404473610527
