Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu03010:Ribosome	33	5.641025641025641	2.3371771113978523E-17	RPL14, MRPS12, RPL27A, RPL35, RPLP2, RPL37, RPL38, RPL22L1, RPL39, MRPL20, MRPL13, MRPL12, RPL31, RPLP1, MRPL18, RPL5, RPS21, MRPL34, MRPL35, RPL36AL, MRPL2, MRPL1, RPS9, MRPS21, MRPS7, RPS6, RPL29, MRPL22, RPL23, RPL18A, RPL22, RPS14, RPL21	274	145	7691	6.388195318399195	5.024930789505383E-15	5.024930789505383E-15	2.964075479290051E-14
KEGG_PATHWAY	mmu03040:Spliceosome	30	5.128205128205128	1.2325049845437545E-15	LSM6, ZMAT2, U2SURP, SNRPD1, SNRPD2, WBP11, SF3B5, HNRNPA3, TCERG1, USP39, U2AF1, LSM3, HSPA8, ALYREF, SF3A2, PRPF4, RBMX, SF3A3, SRSF2, PPIE, RBMXL1, SNRNP40, SNRPC, PHF5A, SNRPF, SNRNP27, THOC3, RBM17, SNRPG, PRPF38A	274	133	7691	6.331430766697768	2.625677453238495E-13	1.312283615106935E-13	1.5543122344752192E-12
KEGG_PATHWAY	mmu05012:Parkinson's disease	27	4.615384615384616	9.725895702229367E-12	NDUFB5, UQCRC1, NDUFB8, NDUFB9, CYC1, ATP5G1, UQCRQ, NDUFB2, CASP3, UQCR11, ATP5O, ATP5J, NDUFA5, COX7A2, NDUFA9, COX8A, CYCS, NDUFC1, UBE2L3, NDUFA10, PARK7, NDUFA12, COX6C, UQCRH, NDUFV1, NDUFV2, COX6A1	274	149	7691	5.086391025326998	2.091065653964108E-9	6.970218846547027E-10	1.2334655519197213E-8
KEGG_PATHWAY	mmu05016:Huntington's disease	30	5.128205128205128	5.195879646896423E-11	NDUFB5, UQCRC1, CLTB, NDUFB8, NDUFB9, POLR2I, CYC1, ATP5G1, POLR2C, UQCRQ, NDUFB2, TFAM, CASP3, UQCR11, ATP5O, ATP5J, NDUFA5, COX7A2, NDUFA9, CYCS, COX8A, NDUFC1, NDUFA10, NDUFA12, COX6C, AP2A2, UQCRH, NDUFV1, NDUFV2, COX6A1	274	198	7691	4.252930767529308	1.1171135572141111E-8	2.7927838930352777E-9	6.589561118985898E-8
KEGG_PATHWAY	mmu05010:Alzheimer's disease	28	4.786324786324787	9.710501646184415E-11	NDUFB5, UQCRC1, NDUFB8, NDUFB9, CYC1, ATP5G1, UQCRQ, NDUFB2, CASP3, UQCR11, ATP5O, ATP5J, NDUFA5, COX7A2, NOS1, NDUFA9, CYCS, COX8A, FADD, NDUFC1, NDUFA10, NDUFA12, COX6C, UQCRH, NDUFV1, NDUFV2, COX6A1, CALM3	274	177	7691	4.440348055589921	2.087757278168567E-8	4.175514600746055E-9	1.2315135577978253E-7
KEGG_PATHWAY	mmu00190:Oxidative phosphorylation	23	3.9316239316239314	2.827316123484873E-9	NDUFA5, NDUFB5, UQCRC1, COX7A2, NDUFB8, NDUFA9, NDUFB9, CYC1, COX8A, ATP5G1, NDUFC1, NDUFA10, UQCRQ, NDUFA12, COX6C, NDUFB2, UQCR11, UQCRH, NDUFV1, NDUFV2, COX6A1, ATP5O, ATP5J	274	139	7691	4.644567557632726	6.078727903258141E-7	1.0131215733011345E-7	3.5856839053494127E-6
KEGG_PATHWAY	mmu04932:Non-alcoholic fatty liver disease (NAFLD)	22	3.7606837606837606	1.3560882277540548E-7	NDUFA5, NDUFB5, UQCRC1, COX7A2, NDUFB8, NDUFA9, NDUFB9, CYCS, CYC1, COX8A, NDUFC1, NDUFA10, UQCRQ, NDUFA12, COX6C, NDUFB2, CASP3, UQCR11, UQCRH, NDUFV1, NDUFV2, COX6A1	274	157	7691	3.9332837416895257	2.915547383408601E-5	4.165119734889089E-6	1.719828873314455E-4
KEGG_PATHWAY	mmu03440:Homologous recombination	9	1.5384615384615385	3.8093505058641E-6	RPA2, XRCC3, RAD51B, XRCC2, BLM, MRE11A, SHFM1, RPA3, RAD51	274	28	7691	9.022288842544317	8.186766199850259E-4	1.0237124954382004E-4	0.004831020779072492
KEGG_PATHWAY	mmu03030:DNA replication	9	1.5384615384615385	2.3232314529334693E-5	RPA2, RFC4, MCM7, POLE3, POLA1, MCM2, MCM3, FEN1, RPA3	274	35	7691	7.2178310740354545	0.004982551351162434	5.548466430640442E-4	0.02945989390997772
KEGG_PATHWAY	mmu04260:Cardiac muscle contraction	10	1.7094017094017095	0.0015254674771285235	UQCRC1, UQCR11, COX7A2, UQCRH, COX8A, CYC1, COX6A1, UQCRQ, TPM1, COX6C	274	77	7691	3.645369229310835	0.2797997065162813	0.03228977612891071	1.917496602314539
KEGG_PATHWAY	mmu00240:Pyrimidine metabolism	11	1.8803418803418803	0.0027862541086234255	NUDT2, POLE3, NME1, RRM2, DTYMK, RRM1, POLR2I, POLA1, POLR2C, DUT, NME6	274	100	7691	3.0876277372262773	0.4511229043671071	0.05307426670771043	3.476665461494921
