SampleID	Cell type
GSM112490	DC
GSM112491	DC
GSM112540	DC
GSM112541	DC
GSM112661	DC
GSM112664	DC
GSM112665	DC
GSM112666	DC
GSM112667	DC
GSM112668	DC
GSM112669	DC
GSM112670	DC
GSM116101	Smooth_muscle_cells
GSM116102	Smooth_muscle_cells
GSM116103	Smooth_muscle_cells
GSM116104	Smooth_muscle_cells
GSM116105	Smooth_muscle_cells
GSM116106	Smooth_muscle_cells
GSM119354	Epithelial_cells
GSM119357	Epithelial_cells
GSM119359	Epithelial_cells
GSM119360	Epithelial_cells
GSM119361	Epithelial_cells
GSM119362	Epithelial_cells
GSM119366	Epithelial_cells
GSM119369	Epithelial_cells
GSM119371	Epithelial_cells
GSM119372	Epithelial_cells
GSM1209554_HH1763_UI33plus2_201004	B_cell
GSM1209555_HH1778_u133plus2_211004	B_cell
GSM1209556_HH1786_U133plus2_091104	B_cell
GSM1209557_HH1791_u133plus2_251104	B_cell
GSM1209558_HH1713_u133plus2_011004	Neutrophils
GSM1209559_HH1712_u133plus2_011004	Neutrophils
GSM1209560_HH1714_u133plus2_011004	Neutrophils
GSM1209561_TW1681_u133plus2_061004	T_cells
GSM1209562_TW1685_u133plus2_061004	T_cells
GSM1209563_TW1689_u133plus2_061004	T_cells
GSM1209564_HH1765_UI33plus2_201004	T_cells
GSM1209565_HH1769_UI33plus2_201004	T_cells
GSM1209566_HH1770_U133plus2_041104	T_cells
GSM1209567_HH1774_u133plus2_211004	T_cells
GSM1209568_HH1775_u133plus2_211004	T_cells
GSM1209569_HH1780_u133plus2_211004	T_cells
GSM1209570_HH1788_U133plus2_091104	T_cells
GSM1209571_HH1792_u133plus2_251104	T_cells
GSM1209572_HH1793_u133plus2_251104	T_cells
GSM1209573_TW1678_u133plus2_061004	T_cells
GSM1209574_TW1682_u133plus2_061004	T_cells
GSM1209575_TW1686_u133plus2_061004	T_cells
GSM1209576_TW1690_u133plus2_061004	T_cells
GSM1209577_TW1675_u133plus2_061004	T_cells
GSM1209578_TW1679_u133plus2_061004	T_cells
GSM1209579_TW1683_u133plus2_061004	T_cells
GSM1209580_TW1687_u133plus2_061004	T_cells
GSM1209581_TW1676_u133plus2_061004	T_cells
GSM1209582_TW1680_u133plus2_061004	T_cells
GSM1209583_TW1684_u133plus2_061004	T_cells
GSM1209584_TW1688_u133plus2_061004	T_cells
GSM1209585_HH1762_UI33plus2_201004	Monocyte
GSM1209586_HH1767_UI33plus2_201004	Monocyte
GSM1209587_HH1772_u133plus2_211004	Monocyte
GSM1209588_HH1777_U133plus2_041104	Monocyte
GSM1209589_HH1785_U133plus2_011204	Monocyte
