ID	Gene	Specificity	Cell type
CCR6	CCR6	positive	Activated CD4+ T
CD14	CD14	positive	Activated CD4+ T
CD19	CD19	positive	Activated CD4+ T
CD38	CD38	positive	Activated CD4+ T
CD4	CD4	positive	Activated CD4+ T
CD69	CD69	positive	Activated CD4+ T
CXCR3	CXCR3	positive	Activated CD4+ T
IL2RA	IL2RA	positive	Activated CD4+ T
ITGB1	ITGB1	positive	Activated CD4+ T
PTPRC	PTPRC	positive	Activated CD4+ T
TFRC	TFRC	positive	Activated CD4+ T
CD3D	CD3D	positive	Angiogenic T
CD3E	CD3E	positive	Angiogenic T
CD3G	CD3G	positive	Angiogenic T
CXCR4	CXCR4	positive	Angiogenic T
PECAM1	PECAM1	positive	Angiogenic T
ACPP	ACPP	positive	AXL+SIGLEC6+ dendritic
ADAM33	ADAM33	positive	AXL+SIGLEC6+ dendritic
ALDH2	ALDH2	positive	AXL+SIGLEC6+ dendritic
APEX1	APEX1	positive	AXL+SIGLEC6+ dendritic
ARHGAP18	ARHGAP18	positive	AXL+SIGLEC6+ dendritic
ATF5	ATF5	positive	AXL+SIGLEC6+ dendritic
ATP2B4	ATP2B4	positive	AXL+SIGLEC6+ dendritic
AXL	AXL	positive	AXL+SIGLEC6+ dendritic
BAIAP2	BAIAP2	positive	AXL+SIGLEC6+ dendritic
BHLHE40	BHLHE40	positive	AXL+SIGLEC6+ dendritic
BIN1	BIN1	positive	AXL+SIGLEC6+ dendritic
CCND3	CCND3	positive	AXL+SIGLEC6+ dendritic
CD22	CD22	positive	AXL+SIGLEC6+ dendritic
CD300LB	CD300LB	positive	AXL+SIGLEC6+ dendritic
CD300LG	CD300LG	positive	AXL+SIGLEC6+ dendritic
CD5	CD5	positive	AXL+SIGLEC6+ dendritic
CD72	CD72	positive	AXL+SIGLEC6+ dendritic
CDH1	CDH1	positive	AXL+SIGLEC6+ dendritic
CDKN1A	CDKN1A	positive	AXL+SIGLEC6+ dendritic
CEP95	CEP95	positive	AXL+SIGLEC6+ dendritic
COQ7	COQ7	positive	AXL+SIGLEC6+ dendritic
CTSW	CTSW	positive	AXL+SIGLEC6+ dendritic
CX3CR1	CX3CR1	positive	AXL+SIGLEC6+ dendritic
CXCR2	CXCR2	positive	AXL+SIGLEC6+ dendritic
DAB2	DAB2	positive	AXL+SIGLEC6+ dendritic
DPYSL2	DPYSL2	positive	AXL+SIGLEC6+ dendritic
ENTPD7	ENTPD7	positive	AXL+SIGLEC6+ dendritic
FAM129A	FAM129A	positive	AXL+SIGLEC6+ dendritic
GNAQ	GNAQ	positive	AXL+SIGLEC6+ dendritic
GPR146	GPR146	positive	AXL+SIGLEC6+ dendritic
HIP1	HIP1	positive	AXL+SIGLEC6+ dendritic
IRF4	IRF4	positive	AXL+SIGLEC6+ dendritic
KLF12	KLF12	positive	AXL+SIGLEC6+ dendritic
KLF4	KLF4	positive	AXL+SIGLEC6+ dendritic
LAX1	LAX1	positive	AXL+SIGLEC6+ dendritic
LGMN	LGMN	positive	AXL+SIGLEC6+ dendritic
LTK	LTK	positive	AXL+SIGLEC6+ dendritic
MECR	MECR	positive	AXL+SIGLEC6+ dendritic
MED12L	MED12L	positive	AXL+SIGLEC6+ dendritic
MGLL	MGLL	positive	AXL+SIGLEC6+ dendritic
MRPS6	MRPS6	positive	AXL+SIGLEC6+ dendritic
MYH11	MYH11	positive	AXL+SIGLEC6+ dendritic
MYO1E	MYO1E	positive	AXL+SIGLEC6+ dendritic
NA	NA	positive	AXL+SIGLEC6+ dendritic
NDRG1	NDRG1	positive	AXL+SIGLEC6+ dendritic
PIM2	PIM2	positive	AXL+SIGLEC6+ dendritic
PLA2G16	PLA2G16	positive	AXL+SIGLEC6+ dendritic
PLAC8	PLAC8	positive	AXL+SIGLEC6+ dendritic
PPP1R14A	PPP1R14A	positive	AXL+SIGLEC6+ dendritic
PTGDS	PTGDS	positive	AXL+SIGLEC6+ dendritic
RAD1	RAD1	positive	AXL+SIGLEC6+ dendritic
RBL1	RBL1	positive	AXL+SIGLEC6+ dendritic
RNASEL	RNASEL	positive	AXL+SIGLEC6+ dendritic
RNF141	RNF141	positive	AXL+SIGLEC6+ dendritic
RUNX2	RUNX2	positive	AXL+SIGLEC6+ dendritic
S100A10	S100A10	positive	AXL+SIGLEC6+ dendritic
SCN9A	SCN9A	positive	AXL+SIGLEC6+ dendritic
SIGLEC1	SIGLEC1	positive	AXL+SIGLEC6+ dendritic
SIGLEC6	SIGLEC6	positive	AXL+SIGLEC6+ dendritic
SLC20A1	SLC20A1	positive	AXL+SIGLEC6+ dendritic
SLC35C2	SLC35C2	positive	AXL+SIGLEC6+ dendritic
SLC41A2	SLC41A2	positive	AXL+SIGLEC6+ dendritic
SLC4A3	SLC4A3	positive	AXL+SIGLEC6+ dendritic
SNRNP25	SNRNP25	positive	AXL+SIGLEC6+ dendritic
SOX4	SOX4	positive	AXL+SIGLEC6+ dendritic
SP4	SP4	positive	AXL+SIGLEC6+ dendritic
STX18	STX18	positive	AXL+SIGLEC6+ dendritic
SUCLA2	SUCLA2	positive	AXL+SIGLEC6+ dendritic
SUSD1	SUSD1	positive	AXL+SIGLEC6+ dendritic
TBC1D9	TBC1D9	positive	AXL+SIGLEC6+ dendritic
THBD	THBD	positive	AXL+SIGLEC6+ dendritic
TNFSF12	TNFSF12	positive	AXL+SIGLEC6+ dendritic
TNNI2	TNNI2	positive	AXL+SIGLEC6+ dendritic
TSEN54	TSEN54	positive	AXL+SIGLEC6+ dendritic
TXN	TXN	positive	AXL+SIGLEC6+ dendritic
UPK3A	UPK3A	positive	AXL+SIGLEC6+ dendritic
USF2	USF2	positive	AXL+SIGLEC6+ dendritic
